dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-01-03,-4.69263026,-4.205695201,-4.43690853,-5.282713715662776,-4.805828207237637,-3.9404958634590392,-3.67381337133305,-5.193515397155954,-5.193515397155954,-5.091634033,-5.09588166,-0.045383181,-5.104407591,-6.185747057894225,-5.337433896248943,-5.372491072814766,-7.325572599376021
2000-01-04,-4.610757182,-4.133991518,-4.342059556,-5.283896220128001,-3.621457277169797,-3.696109247602367,-3.364937830161493,-4.994942685510265,-4.994942685510265,-4.865824656,-4.982616617,-0.044888234,-4.959027711,-5.482750340272269,-5.333273648409825,-5.339370529752282,-5.524233374102228
2000-01-05,-5.842876041,-5.273405842,-5.775260626,-5.285077627153971,-4.683377418290101,-4.691622018440599,-4.676114556808571,-5.912056454383528,-5.912056454383528,-5.855725346,-5.998481931,-0.051838186,-6.082943592,-5.717461035549432,-5.369634409180812,-5.708784623159835,-6.541066597153855
2000-01-06,-5.443501909,-4.897025143,-5.323639202,-5.286179036107197,-4.7529475473601295,-4.374153575294955,-4.476951964757241,-5.573453952349942,-5.573453952349942,-5.570314876,-5.589502141,-0.049032597,-5.709256095,-6.927260463382917,-5.364646593581203,-5.396484523218146,-5.940388915585746
2000-01-07,-6.22145514,-5.612489558,-6.18300777,-5.287370525300159,-5.745738533786627,-5.074973141210904,-5.368015027311939,-6.324538003278886,-6.324538003278886,-6.318428126,-6.345416418,-0.053971216,-6.478394532,-5.459719255193475,-5.390734496160234,-5.721082042965906,-5.426166070175766
2000-01-10,-5.737810095,-5.158581964,-5.646487934,-5.288557481415908,-5.328158990318616,-4.91768868080453,-5.059047107709858,-5.93176756699648,-5.93176756699648,-6.001408706,-5.851512247,-0.050673526,-6.03878449,-5.643323567141657,-5.344565336864242,-5.40691450741105,-6.895945408701123
2000-01-11,-5.355034582,-4.806282529,-5.21928733,-5.289754772075443,-4.644198397234069,-4.432294568581383,-4.613017245608437,-5.604856298970513,-5.604856298970513,-5.628928443,-5.529308401,-0.048133523,-5.661698762,-7.050980772647549,-5.34499620957843,-5.370862358960261,-7.17392821910564
2000-01-12,-5.616006139,-5.091873791,-5.544512967,-5.290952983451721,-5.446381175936829,-4.740601569610909,-5.096694486978753,-6.057926609422201,-6.057926609422201,-6.072796152,-5.906793993,-0.050843861,-6.034718266,-6.1895245565274655,-5.359483859919398,-5.564489111886084,-6.6986713955187565
2000-01-13,-6.24971347,-5.654035141,-6.220348307,-5.292151875032659,-5.353877420908924,-5.268532698101682,-5.760104225360355,-6.578646785977548,-6.578646785977548,-6.677836388,-6.441419572,-0.054680568,-6.661198835,-4.961288676135412,-5.362451101030349,-5.657182380483741,-9.14465301736938
2000-01-14,-5.80165765,-5.224811834,-5.713180444,-5.293350006215711,-5.6979386701223085,-5.097980996596876,-5.583074672355692,-6.29247383880481,-6.29247383880481,-6.455054798,-6.042242419,-0.052023184,-6.301421547,-6.3187185006140645,-5.349118275457541,-5.418718790973074,-6.876968154409304
2000-01-18,-5.944826273,-5.393725432,-5.89593366,-5.294558334253225,-5.79186680409514,-5.951883516719561,-6.414207519452457,-6.76154851151122,-6.76154851151122,-7.055319559,-6.598043728,-0.056632846,-6.985653564,-5.826187813294162,-5.344666361702006,-5.783239062220723,-7.298168874693479
2000-01-19,-5.700724048,-5.141667715,-5.590645097,-5.2957645342948965,-6.117965127625998,-6.001699776627485,-6.395561614253627,-6.751272925754488,-6.751272925754488,-7.043219129,-6.451155973,-0.05504803,-6.832098267,-5.446395539689155,-5.32021947694181,-5.521378049586379,-6.76774761885949
2000-01-20,-10.04653123,-9.378836788,-10.72360692,-5.440306975964238,-6.167575466691044,-9.817696151037492,-8.855665365948992,-8.669419310525074,-8.669419310525074,-9.014305894,-9.516190779,-0.075221826,-10.01260075,-5.281805102214452,-5.454521311426118,-6.888235173291188,-6.093646927089449
2000-01-21,-8.80332848,-8.187835233,-9.386441935,-5.4417536564193005,-7.196056682405823,-8.455683145529672,-7.049800096218611,-7.712915034190363,-7.712915034190363,-8.089496993,-8.248741362,-0.064943229,-8.794301057,-6.14271224723169,-5.451863605765258,-5.416885969552616,-6.861725023155644
2000-01-24,-7.962620159,-7.350556708,-8.405560715,-5.443050012784189,-6.872778738092844,-7.626668536864941,-6.571718599733943,-7.422141352519173,-7.422141352519173,-7.753213574,-7.61041224,-0.0601928,-8.11648881,-5.42662547918381,-5.429473072118875,-5.476046341128578,-6.619934276968225
2000-01-25,-7.36300212,-6.772670406,-7.700338467,-5.444497336367902,-6.241126676735183,-7.091782549001159,-6.38253391197753,-7.281088642823042,-7.281088642823042,-7.601065564,-7.228285316,-0.059710004,-7.705110381,-6.0635174454628045,-5.438359882474865,-5.521483072350953,-7.320201053239328
2000-01-26,-6.625212566,-6.065090476,-6.866103599,-5.445951334569431,-6.312358670742353,-6.336708149601141,-5.842453236976548,-6.745485190513512,-6.745485190513512,-7.052060547,-6.559309242,-0.056691357,-7.022086855,-5.757563256662047,-5.430478829336852,-5.4007779519729855,-6.915907107227263
2000-01-27,-6.823025363,-6.270025645,-7.047714068,-5.447410004876426,-6.402655242170042,-6.649843824326203,-6.327639680635377,-7.133433305614893,-7.133433305614893,-7.412560895,-6.93337194,-0.05649837,-7.340182022,-5.116881435615898,-5.469369279357699,-5.692109945842199,-7.264353548280111
2000-01-28,-6.20105196,-5.663716785,-6.329854534,-5.448868332349668,-5.3980880125420185,-5.804196433275707,-5.77042776033672,-6.539555959017807,-6.539555959017807,-6.782363775,-6.287784793,-0.052394652,-6.667956631,-5.152711919436355,-5.465061645106196,-5.362144885808429,-7.144245541269378
2000-01-31,-5.711463918,-5.192988863,-5.75519452,-5.450328599773202,-5.4208921639537655,-5.12412462525398,-4.716845297956786,-6.081558464211868,-6.081558464211868,-6.25568651,-5.818374786,-0.049518465,-6.128600708,-5.632574003792756,-5.435390779664811,-5.33928449983523,-8.444948672714153
2000-02-01,-5.34558701,-4.83680911,-5.306206562,-5.451799506375741,-4.285727909117659,-4.676005943117369,-4.193519030667271,-5.708315487304285,-5.708315487304285,-5.815174765,-5.478322799,-0.047663134,-5.715722258,-5.452097528940277,-5.434774005107449,-5.335698372108839,-5.805010687623564
2000-02-02,-6.189483823,-5.624963127,-6.20478207,-5.453242984314154,-6.377981240875224,-6.85120760254241,-5.961827880348429,-6.662822697465402,-6.662822697465402,-7.014637935,-6.777574009,-0.058894765,-7.270625687,-5.149238483487268,-5.397859588908011,-6.058398285680493,-7.154839189243351
2000-02-03,-6.001450776,-5.41759075,-5.942954333,-5.454720694120281,-5.824184822784193,-5.458889102430659,-5.809746760546901,-6.69507144121562,-6.69507144121562,-6.91511507,-6.5765999,-0.056094072,-6.940813562,-5.474429231433882,-5.417458261386829,-5.472742738906621,-7.119535009594229
2000-02-04,-5.750551813,-5.169535692,-5.637349156,-5.456195253877524,-6.04420530725566,-6.43794784962445,-6.01130080646966,-6.618014164067044,-6.618014164067044,-6.939408382,-6.372000563,-0.056477466,-6.804826922,-5.9590350281809314,-5.413931999335315,-5.5623998581425855,-5.577624368151181
2000-02-07,-5.561593509,-5.005142778,-5.429202284,-5.457673868604624,-6.147591083850475,-6.5536646637707,-6.159252904357305,-6.667514942660468,-6.667514942660468,-7.007898552,-6.329151746,-0.054508262,-6.763809918,-5.31647884100617,-5.382935295859363,-5.56291105278279,-7.5261116002320945
2000-02-08,-5.223529015,-4.692157037,-5.053312248,-5.459160540854202,-4.967663337706358,-5.460980442764277,-5.027390309607428,-6.089704493307301,-6.089704493307301,-6.272356652,-5.869208451,-0.050663164,-6.197432074,-4.983956289524097,-5.383999552773249,-5.329989739175791,-6.875120931226631
2000-02-09,-5.268404682,-4.750288916,-5.10915167,-5.460650582809746,-4.853869882637621,-5.852183415504133,-5.6227827787938,-6.295916651122252,-6.295916651122252,-6.582660022,-6.036131464,-0.052647184,-6.429819296,-6.086483564160303,-5.391225635976489,-5.620853065839304,-6.3347564603141375
2000-02-10,-7.837594367,-7.33265627,-8.283522498,-5.553431349897647,-7.298675260420077,-8.011637537016414,-7.157190393949692,-7.603163300841325,-7.603163300841325,-7.854919203,-7.826595775,-0.065632323,-8.245042711,-4.939068651303608,-5.443308370599033,-6.245387336409315,-6.748750139144447
2000-02-11,-7.021121002,-6.528674401,-7.361246598,-5.554804140804272,-6.54966781314613,-7.187032328714717,-6.460036686377269,-6.986515917887154,-6.986515917887154,-7.345732087,-6.979754341,-0.058535576,-7.508985148,-7.312588962509892,-5.435861199610793,-5.496830146503798,-6.480810082144078
2000-02-14,-8.827780163,-8.293125698,-9.416661573,-5.891146990731709,-7.961525479174058,-8.72009224799346,-7.92558498719387,-8.180044769206722,-8.180044769206722,-8.553040145,-8.65176924,-0.073718796,-9.150597445,-5.188693070741707,-5.478903044439448,-6.377705369279968,-7.47860675933208
2000-02-15,-7.787043298,-7.276403267,-8.271715992,-5.89286013499591,-6.634208167095853,-7.52472560896084,-6.329524517946322,-7.227199488090391,-7.227199488090391,-7.609185263,-7.521965728,-0.060602506,-8.090569493,-5.044101996901371,-5.451648422784396,-5.4097707105573125,-6.352614159938486
2000-02-16,-6.980258254,-6.484437662,-7.350439778,-5.894576757939503,-5.580106992100268,-6.602926642606627,-5.438786479390639,-6.8339526096474446,-6.8339526096474446,-7.08347772,-6.862132196,-0.055559027,-7.343101659,-6.586655163044553,-5.461151305315938,-5.441010290365877,-6.419443836437365
2000-02-17,-6.350420549,-5.85103941,-6.593099921,-5.896297764804243,-5.038167808396608,-6.073343233686891,-5.297774489212983,-6.462555356060942,-6.462555356060942,-6.656255771,-6.325538275,-0.054724606,-6.741774388,-6.387653621395844,-5.469343477675428,-5.435405810767319,-7.038250832387313
2000-02-18,-5.8939477,-5.386289174,-6.016478087,-5.898020557413191,-5.469178548365737,-6.104365842907209,-5.170533091169801,-6.266873113249621,-6.266873113249621,-6.521421931,-5.991726974,-0.051034692,-6.432404529,-6.702810953833958,-5.450690057618841,-5.503629651257185,-7.683159822008816
2000-02-22,-7.414372309,-6.796076451,-7.657869617,-5.899748172389777,-6.565654427360177,-7.367001555011073,-6.459417211143085,-7.317231303573045,-7.317231303573045,-7.514174392,-7.338524649,-0.060036239,-7.708521566,-5.940917935506023,-5.501229026658968,-6.040932986656947,-8.042459925493072
2000-02-23,-6.714492803,-6.130640702,-6.877642697,-5.9014774504082,-5.814911681239988,-6.344302750075801,-5.799880167258696,-6.784410322967577,-6.784410322967577,-7.141592678,-6.737873437,-0.058262318,-7.145949841,-5.94201666681913,-5.511787234372967,-5.473942093304053,-6.8865229821471
2000-02-24,-6.09508536,-5.541047692,-6.18074041,-5.903213153568956,-4.958033665313336,-5.547938243344143,-4.9649083742757965,-6.223292083150316,-6.223292083150316,-6.425969033,-6.120820419,-0.053288051,-6.507659501,-5.502855473610431,-5.490984592751857,-5.418475496548539,-6.479670557647525
2000-02-25,-5.621536266,-5.089811267,-5.629383142,-5.904953098327169,-4.705198916564017,-4.898287306990991,-4.430812089164941,-5.708721697484158,-5.708721697484158,-5.89352692,-5.700239234,-0.048968223,-6.010016039,-5.001016541915767,-5.491660736951387,-5.418911462284797,-6.169655256471752
2000-02-28,-6.510710058,-5.905323754,-6.572682244,-5.906692689282783,-5.534631404677526,-5.91443209144271,-5.5094508791159456,-6.44987527393371,-6.44987527393371,-6.686323068,-6.497842441,-0.055185086,-6.848545617,-5.937759556020062,-5.516190102881739,-5.822343681511674,-5.623360118942393
2000-02-29,-5.937515537,-5.366805147,-5.937429283,-5.908436722964249,-4.832218577015193,-5.249465246604688,-4.681793523397176,-5.790813276235796,-5.790813276235796,-6.028969483,-5.896803172,-0.051942245,-6.27055712,-5.990838855945544,-5.51724842243958,-5.429759281853371,-6.079317934095433
2000-03-01,-5.959761863,-5.361318452,-5.898382779,-5.910166325965381,-5.187550314058402,-5.392395473700998,-5.098331847944695,-6.112720899678308,-6.112720899678308,-6.324281101,-6.068285666,-0.052304011,-6.38914137,-4.891070437319673,-5.540496083780467,-5.605920714425388,-5.479132214843784
2000-03-02,-5.56067411,-4.986725735,-5.444121863,-5.911916251566816,-5.011391711223835,-5.027236686166978,-5.00543834565579,-5.861513542265834,-5.861513542265834,-6.147214344,-5.711223187,-0.050247876,-6.074205403,-7.724610376218173,-5.54015462635636,-5.508566936872241,-5.975193536842486
2000-03-03,-5.426818415,-4.877823305,-5.291429838,-5.913669827652733,-5.480806635895572,-5.634329317144294,-5.482239070172488,-6.220702220289117,-6.220702220289117,-7.089532276,-5.842799324,-0.051817516,-6.254529659,-4.897244233701892,-5.541345564317133,-5.661510249837902,-7.692445181563258
2000-03-06,-5.390506368,-4.831658677,-5.218772682,-5.915432070382428,-5.857272100806075,-5.6626889116350485,-5.858336189401344,-6.258102223987383,-6.258102223987383,-7.140592473,-6.000712881,-0.053082864,-6.438543389,-5.763585192815231,-5.546775258845428,-5.6903266886102255,-6.719220460645031
2000-03-07,-8.318014707,-7.685680844,-8.709268353,-5.917190318719949,-7.306189261062059,-6.03757499956184,-7.539326373566226,-6.522475346488417,-6.522475346488417,-7.413210165,-7.979185565,-0.067296324,-8.449815753,-6.074579390887784,-5.636871771342873,-6.452489248689076,-7.622475215372795
2000-03-08,-7.458552954,-6.851165066,-7.751176549,-5.9189582970577606,-7.024126550343193,-7.364433612886073,-7.008464323860549,-6.242270769671616,-6.242270769671616,-7.283075043,-7.175115067,-0.063931568,-7.850184573,-5.7683899683315545,-5.638186364443833,-5.69495598546105,-7.63595138617338
2000-03-09,-6.827322982,-6.245030055,-7.029528731,-5.9207279059561895,-6.898587711964568,-7.463712769831708,-6.745724789819716,-6.26465543660504,-6.26465543660504,-7.323164417,-6.919288327,-0.061877991,-7.609763406,-5.80128363043512,-5.637095410348338,-5.7676487493026825,-7.8494972047813
2000-03-10,-6.833230984,-6.225273424,-6.956735333,-5.922500198352324,-7.714381070518409,-8.051714223971654,-7.542188875844772,-6.382052809862436,-6.382052809862436,-7.482055662,-7.375412555,-0.067241542,-8.179871782,-5.38670429172572,-5.6485693172313685,-6.122232273801545,-7.339093385656258
2000-03-13,-6.192852682,-5.619590343,-6.249031697,-5.924281034305359,-6.29677922612683,-7.257551601474702,-6.340633296465199,-6.357763932779304,-6.357763932779304,-7.377230963,-6.824800227,-0.062508781,-7.509163041,-6.155146844524727,-5.647472614478325,-5.573375654966782,-7.358175384908392
2000-03-14,-6.354160751,-5.79360695,-6.423692027,-5.926056700496681,-6.753591694806295,-7.298824953731972,-6.489149892921008,-6.436257215348721,-6.436257215348721,-7.444305739,-6.949182263,-0.062936651,-7.529766892,-5.423451851329186,-5.670072946747162,-5.8186275871546185,-7.296055280333483
2000-03-15,-6.486200718,-5.883707169,-6.511466075,-5.927845671206832,-6.644559683697226,-6.902206743244656,-6.782702992854956,-6.478797930583237,-6.478797930583237,-7.515387344,-6.984887055,-0.061607776,-7.56427829,-5.974894346033767,-5.693939537117801,-5.811793701912156,-7.303227944336385
2000-03-16,-5.918643142,-5.350198668,-5.88893272,-5.929634339376296,-5.438887857545127,-6.012878372723504,-5.343911305118614,-6.355960970992882,-6.355960970992882,-7.378920256,-6.311073152,-0.056103387,-6.885134074,-7.0299555103043785,-5.688955790692116,-5.559622556343741,-8.439318437880216
2000-03-17,-5.488803618,-4.946646526,-5.402860155,-5.93142146028138,-4.649455119456012,-5.268322068955794,-4.41773401123656,-6.282479103544908,-6.282479103544908,-7.265511836,-5.844406679,-0.055159754,-6.323711047,-6.265703435191624,-5.691196932701718,-5.556119330358448,-6.080829945455707
2000-03-20,-5.823309949,-5.255094816,-5.743300849,-5.93321845505001,-5.720754274204582,-6.541353332200826,-5.7411265017555735,-6.33292286824032,-6.33292286824032,-7.376495508,-6.411819422,-0.059567489,-7.050187801,-5.725145814868031,-5.664656485213264,-6.03333979491597,-8.125457660347102
2000-03-21,-5.727690194,-5.147625945,-5.600556953,-5.935017031598394,-5.655990619190814,-6.133327729117954,-5.634280130761158,-6.379100982231649,-6.379100982231649,-7.380909566,-6.33197887,-0.056217374,-6.805616284,-5.615936305269163,-5.678259850318274,-5.674669221296631,-6.830548769643676
2000-03-22,-6.55225533,-5.954563065,-6.555694084,-5.936814160916219,-7.2507432562452125,-6.85066594119072,-7.13534731251251,-6.498064664876952,-6.498064664876952,-7.610341134,-7.246630593,-0.066767959,-8.038615573,-6.304560640403824,-5.6847478751013645,-6.349950475977423,-7.3318285151049425
2000-03-23,-5.969737426,-5.404951408,-5.924237593,-5.93862378784008,-5.750772959980681,-7.056055594016371,-5.822718295131379,-6.468722627461392,-6.468722627461392,-7.491842744,-6.672953691,-0.06024793,-7.292881478,-5.656642897181063,-5.6769501135823,-5.56820735747228,-6.390233142446571
2000-03-24,-8.336950385,-7.73921927,-8.670004892,-5.938658404546223,-8.43306863943822,-10.791054722671566,-8.50392027572737,-7.067638004686044,-7.067638004686044,-7.929905987,-9.336754444,-0.083106729,-10.20257188,-5.373741286755763,-5.75386361203439,-7.270182383184941,-7.51449388392045
2000-03-27,-7.385536682,-6.823045158,-7.647454134,-5.940469200390759,-6.539032890580937,-9.200684777630707,-6.571643628388471,-7.018419249154614,-7.018419249154614,-7.784564007,-8.398762754,-0.076176999,-9.079885225,-5.944986857550037,-5.756674160494422,-5.653121668771518,-6.744219111568363
2000-03-28,-10.08017789,-9.467460106,-10.78292181,-6.024330483751671,-8.788711092038703,-10.797089329583423,-8.7062922898406,-7.433290119838481,-7.433290119838481,-8.257589258,-10.32054973,-0.087483435,-10.94841832,-5.8949095031725465,-5.838078220140367,-6.995286858836049,-7.0403407173534855
2000-03-29,-8.811228114,-8.243559584,-9.421331735,-6.029092527870153,-6.372995454520405,-8.972260202671107,-6.994022017471337,-7.1682208106678,-7.1682208106678,-8.081926737,-8.910316798,-0.078132933,-9.69246723,-7.130605107246641,-5.830524438624338,-5.700366520629201,-7.853313013587249
2000-03-30,-7.878053352,-7.322318197,-8.360347862,-6.033880800424229,-7.460719837055078,-8.713121419168969,-6.876043892777549,-7.180749413420276,-7.180749413420276,-8.064736629,-8.198027733,-0.072325998,-9.022039311,-7.024366966362416,-5.832204468757952,-5.908344394540209,-7.250598526865303
2000-03-31,-7.799404192,-7.192228375,-8.159202289,-6.038694699719668,-7.170703535284804,-8.518392181707133,-7.193901266160083,-7.359479810074018,-7.359479810074018,-8.18697115,-8.26960425,-0.071567904,-8.938244219,-6.637093410291691,-5.8659340054011295,-6.084526035055632,-8.037884402786474
2000-04-03,-7.085039609,-6.493618134,-7.338231398,-6.043534205509752,-7.00269716517596,-7.949635061241151,-7.904076675629282,-7.219228085334149,-7.219228085334149,-8.199670028,-7.587499403,-0.071640401,-8.38476882,-5.717380190340759,-5.863785423167849,-5.944701328222053,-5.715828701284214
2000-04-04,-19.44096197,-18.61725878,-21.55817549,-7.087385891480523,-12.486235708428786,-17.25497227682584,-12.760186441884487,-9.333530946911246,-9.333530946911246,-9.6160635,-10.21949417,-0.105729005,-10.99529029,-6.214597695896685,-6.360968603996983,-10.82500532916196,-8.420289619496504
2000-04-05,-16.78918562,-16.0562865,-18.72799626,-7.091604818324096,-10.820944111892173,-16.2543813523521,-11.266711389059012,-8.991144608997601,-8.991144608997601,-9.639150192,-9.928856128,-0.103526825,-10.92277352,-5.912207864572925,-6.380936443945622,-6.335042129550449,-10.811729099416349
2000-04-06,-14.55244766,-13.8849103,-16.29789111,-7.094604362479987,-9.767999067453392,-14.546289462389351,-10.05213055329316,-8.928968805932932,-8.928968805932932,-9.59166456,-9.773637055,-0.101119517,-10.79897277,-6.861985737163574,-6.393103802368779,-6.332150114986799,-8.722304895554036
2000-04-07,-12.56190363,-11.9635383,-14.13844887,-7.0963302747502,-7.928108683350151,-12.925779681540035,-8.266344659823417,-8.61294617814569,-8.61294617814569,-9.335846001,-9.551876745,-0.09788924,-10.56639999,-8.929526594579881,-6.366034649194757,-6.158922857895363,-10.698424366860698
2000-04-10,-11.00452315,-10.43777102,-12.37337131,-7.100484922993468,-7.994743675647181,-11.980513881812914,-8.255919523046229,-8.56496558514143,-8.56496558514143,-9.394278158,-9.453499011,-0.093597329,-10.53285538,-6.722874593079631,-6.313836275738191,-6.451481566123653,-7.834444817095911
2000-04-11,-9.98970221,-9.413171578,-11.1183787,-7.099836793469319,-7.903566656660299,-11.145621070823871,-8.190981974818607,-8.749671360863942,-8.749671360863942,-9.475458055,-9.502694534,-0.095035976,-10.52792183,-6.888998120942824,-6.341211203578624,-6.438746340246285,-9.855768394040949
2000-04-12,-8.981316426,-8.404331343,-9.899297665,-7.104480429376014,-7.014559706939336,-8.961919175090257,-7.78487200063356,-8.679543833366825,-8.679543833366825,-9.468800331,-9.408944401,-0.093080855,-10.45431797,-7.747203185504928,-6.341343435741388,-6.308613860120208,-8.7027333719829
2000-04-13,-9.594722452,-8.959763107,-10.38003483,-6.776218944658366,-9.195040240741054,-10.671042240928434,-8.721547288725661,-9.025979235658609,-9.025979235658609,-9.836643207,-9.651619064,-0.094776298,-10.73576986,-7.963039593842147,-6.311451268931026,-6.871853345143179,-10.043335101627266
2000-04-14,-8.412052471,-7.823589588,-9.081119246,-6.789694984546996,-8.213044912959083,-10.085885241535236,-7.161908093477984,-8.685675763580525,-8.685675763580525,-9.573173908,-9.428860456,-0.080835216,-10.5441724,-8.93345975119521,-6.310828297869944,-6.100722601423313,-7.801481813600369
2000-04-17,-10.18526412,-9.538769769,-10.9558463,-6.803316548953585,-8.525334566157685,-10.899798000414316,-8.782228760348033,-9.201002509019848,-9.201002509019848,-10.07373522,-9.842664671,-0.095542516,-10.97792935,-7.356870178313208,-6.40485057974618,-7.251841009106659,-8.81184865484556
2000-04-18,-8.949833385,-8.346653893,-9.60846731,-6.8170909941120765,-7.713819102153945,-9.864343823898883,-8.124723446969814,-9.017514069958995,-9.017514069958995,-9.91381337,-9.712020195,-0.093075615,-10.81432558,-7.220831153011749,-6.397603974635753,-6.300850701886718,-8.487296454571537
2000-04-19,-8.800774079,-8.162306184,-9.31291266,-6.8310130606625545,-9.100639851902647,-10.809412888762088,-9.2127893464238,-9.263685517411597,-9.263685517411597,-10.29180056,-9.8723305,-0.095261877,-11.08007665,-5.426462727640329,-6.437497820925655,-7.092814973061689,-10.761636161964216
2000-04-20,-8.001449138,-7.373421517,-8.391801945,-6.845091210372941,-8.275953422997368,-10.523687463209772,-8.452466369436914,-9.253776358930253,-9.253776358930253,-10.19378917,-9.751367433,-0.093086355,-10.94912193,-5.190736569214439,-6.455995980524931,-6.359139202887811,-7.602949752172719
2000-04-24,-7.113053315,-6.525892612,-7.415939417,-6.859326157738993,-6.645996872894853,-8.87598596552234,-8.592294115515774,-8.877784135043864,-8.877784135043864,-9.860143966,-9.536338764,-0.090085229,-10.74024046,-6.802576632509872,-6.40023696025245,-6.183795663272738,-10.145370782421203
2000-04-25,-20.98655054,-20.1363484,-23.33286929,-7.1302727473794265,-18.94841854335008,-20.89745597833803,-16.48652761201,-11.557364772137117,-11.557364772137117,-11.7771734,-12.79353014,-0.120098253,-13.62890695,-7.059478096880864,-6.919273672860974,-11.71739342626525,-10.252528006911582
2000-04-26,-18.10541198,-17.35324771,-20.25892793,-7.133285040217901,-18.306910256785383,-19.071121000841604,-16.139624569796148,-11.021088460126446,-11.021088460126446,-11.76308685,-12.41092794,-0.117491939,-13.49169247,-7.553920998386808,-6.929617006629984,-7.0412739659492845,-10.863963084217556
2000-04-27,-15.62199445,-14.95147054,-17.58227988,-7.1363028152533134,-9.983029597634175,-17.406278151639743,-5.142683907894486,-10.918272906331309,-10.918272906331309,-11.5424502,-12.23009638,-0.114078288,-13.23636187,-7.465287089495618,-6.938704589968631,-6.755003933709859,-10.42783171959982
2000-04-28,-13.50233516,-12.89692151,-15.26717649,-7.137682192850128,-5.873669159790831,-15.840642825504128,-14.130492841921262,-10.592060307850428,-10.592060307850428,-11.35959111,-11.97337826,-0.110903612,-13.08834174,-7.017985902611565,-6.927808683076309,-6.831034375579445,-8.705146828144978
2000-05-01,-11.67343044,-11.12467149,-13.25148448,-7.140638666245514,-20.4273456092193,-14.550901077410222,-12.350451207705436,-10.216043043961706,-10.216043043961706,-10.9396077,-11.72046893,-0.107243754,-12.7672545,-6.312939993921149,-6.911041455153765,-6.657034000661239,-11.318541819121483
2000-05-02,-10.54766414,-9.985924555,-11.85310006,-7.143602016584354,-14.146460731757848,-14.287456530483308,-12.95697846955036,-10.259451915728969,-10.259451915728969,-11.16165864,-11.65469413,-0.107037722,-12.83814957,-8.13582725523973,-6.935136056168057,-7.31027747907211,-10.87910410675445
2000-05-03,-10.28133978,-9.659574141,-11.32920552,-7.146571572192001,-14.82645981216553,-13.670028807101684,-13.399950363482358,-10.683747984635202,-10.683747984635202,-11.37606496,-11.82817368,-0.106586677,-12.8890989,-7.1753356295895045,-6.983667400784031,-7.30088945135448,-9.654942721303238
2000-05-04,-8.980941525,-8.405723384,-9.886633303,-7.149547864258478,-8.291271219539665,-12.212401133894012,-6.090394265659593,-10.148385949291118,-10.148385949291118,-11.0266815,-11.46763977,-0.103136508,-12.61387371,-6.652940456065862,-6.983712003968224,-6.749947293633718,-11.054573848446584
