dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH_FHS,EGARCH_norm,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-01-03,-8.139934005,-7.925184245,-8.913850723,-8.179358720841256,-5.9951655417116365,-9.643222887892962,-6.266387770682986,-9.468384482981705,-7.716451053867797,-9.19290107,-6.399384689,-0.052244581,-6.339517585,-7.1364476926742855,-6.832931561139019,-6.715254838051623,-8.463682630118681
2000-01-04,-8.350712368,-8.138173603,-9.199013769,-8.194632861063772,-6.272656002330367,-7.8373812836746835,-6.796063506823464,-9.34003389405427,-7.504076464359137,-9.139035795,-7.532722554,-0.061249224,-7.237571612,-7.507078168897639,-6.811623544119127,-6.850664005428447,-8.511079590799142
2000-01-05,-8.851184139,-8.640353988,-9.939693823,-8.210014277631394,-6.540182224755095,-5.542024186282444,-5.47385585933981,-10.228143719948667,-8.182466082111112,-9.762759518,-10.1661136,-0.081735715,-9.637192544,-8.321482735491028,-6.873665889628974,-7.411353749262258,-9.364875330538911
2000-01-06,-8.73745593,-8.529119672,-9.820011034,-8.225498935939976,-6.151539758701118,-11.52192295068626,-8.272421597556695,-10.328561258702711,-8.592059877098093,-10.26606968,-10.11555458,-0.084820017,-10.04448181,-6.205312919944198,-6.9014702855257966,-7.447763936047269,-7.087862777507026
2000-01-07,-8.527142179,-8.386993419,-9.519735793,-8.241088191735747,-7.184371967069642,-5.483053881238449,-7.17545312279121,-9.861272172403512,-8.02080420643228,-9.616226576,-6.808989452,-0.054580993,-6.876458017,-8.059782487392422,-6.906679981246649,-6.732261627550093,-7.122160611836625
2000-01-10,-8.299239214,-8.131656607,-9.077421088,-8.256784493175411,-6.807691200589414,-8.691563892991878,-6.526128299518952,-9.079054242973864,-7.3831812235926995,-8.982195229,-6.34262045,-0.051930529,-6.335820444,-8.546987937192313,-6.836590486365889,-6.679094543612261,-8.575134625444994
2000-01-11,-8.11658714,-7.94534068,-8.793684962,-8.272583161613078,-6.723855412118178,-9.226288840303884,-6.533707010605014,-8.477978489156266,-6.956787120986166,-8.743675906,-6.704841768,-0.055215633,-6.681667119,-7.471770713976227,-6.834600273294149,-6.751566967331011,-10.02438914879676
2000-01-12,-8.020243928,-7.841584098,-8.70016867,-7.786233630283294,-8.815168215703972,-9.60302826312514,-7.395243471368818,-9.22458808267879,-7.651394752711961,-9.281914976,-9.244431621,-0.077229986,-9.027352393,-7.961906932325881,-6.838675505470633,-7.267276878400362,-11.105024292754887
2000-01-13,-8.265713123,-8.119293546,-9.094054438,-7.799688466953538,-7.651644663437973,-10.120184243152725,-6.788044429041133,-9.534496003823,-7.657975034240908,-9.363302002,-8.167028627,-0.066050274,-7.919958086,-7.38434836282493,-6.856179492031642,-7.011517202709147,-9.154213941677916
2000-01-14,-8.063186124,-7.921322615,-8.781837567,-7.33316426821997,-7.032468014540918,-8.41395142598025,-7.008925433664478,-8.626244077556247,-7.11031509821376,-9.007335624,-6.687880115,-0.054470495,-6.679746541,-6.396264568776153,-6.841372501003748,-6.760035207488156,-7.986220954774416
