dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH-st,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-01-03,-4.794781398,-4.355083012,-4.433755474,-5.867499421811438,-4.645962532243804,-3.566523167978733,-4.385043477717959,-4.523855269646902,-4.346328548,-4.523855269646902,-4.832059113,-0.048817387,-5.628215499,-5.786397655028568,-5.801090280814869,-5.95304191313669,-7.64107548020744
2000-01-04,-4.714974975,-4.27979744,-4.352534152,-5.866344486311431,-4.393139418552334,-3.4923142070584063,-4.733711223649755,-4.41811582359746,-4.210906715,-4.41811582359746,-4.763219119,-0.048342441,-5.497506315,-5.858016093576954,-5.798111747803339,-5.942112938949585,-4.055305321103488
2000-01-05,-7.94366145,-7.340755869,-7.243649608,-5.86518899288316,-11.545482958503868,-7.321690704337178,-8.704005683503421,-6.642586709226497,-6.626891918,-6.642586709226497,-6.792901342,-0.065705473,-7.382462565,-6.905706288195672,-5.879492463138711,-6.810478722910723,-5.588939620117701
2000-01-06,-7.36169167,-6.798830582,-6.766982297,-5.864109852513816,-8.698800255962235,-6.559726319600896,-5.798112679987909,-6.0658883910844175,-6.372657697,-6.0658883910844175,-6.246722404,-0.0620893,-7.065053934,-5.942848079556099,-5.880592948580645,-5.9542117691449,-6.132257389815591
2000-01-07,-7.346529312,-6.783284341,-6.783016402,-5.862950027768255,-8.87716585488798,-5.956835331676225,-6.228579248041438,-6.115546077382896,-6.62241834,-6.115546077382896,-6.080564409,-0.060360126,-6.976148239,-5.614056347613039,-5.8781400880235095,-6.026041539453623,-6.251512235771031
2000-01-10,-6.803201195,-6.268062855,-6.31001105,-5.861945703934569,-5.82975894687833,-8.621223598744926,-9.274256614539706,-7.337830489498238,-6.140116955,-7.337830489498238,-7.104133668,-0.070605702,-8.042747039,-6.212613174731066,-5.8007345014064855,-6.756974570501849,-6.371568469354657
2000-01-11,-6.353785917,-5.841578973,-5.91216736,-5.860776428986908,-4.286916765850537,-9.569796523169352,-9.147407648709343,-7.526550465820662,-5.748363299,-7.526550465820662,-7.130094543,-0.071637558,-8.166789245,-5.927047965610536,-5.7841735942197765,-6.283912885900609,-5.142924994724292
2000-01-12,-7.281603614,-6.699599792,-6.731007574,-5.859607525450762,-8.944792794704785,-6.914541094091763,-8.637811381168909,-7.663984649427807,-6.614172343,-7.663984649427807,-7.161397023,-0.070884698,-8.246797104,-6.465991667345644,-5.818711704751809,-6.199757032199822,-5.403797300615551
2000-01-13,-7.687365624,-7.094235767,-7.12422667,-5.85843503019726,-10.437152701942052,-7.313443094722027,-8.009047132327707,-7.552465363001671,-7.144406316,-7.552465363001671,-6.987375822,-0.069896932,-8.18164101,-7.2485094979285405,-5.8194781787425525,-6.095575638185656,-5.33202027839583
2000-01-14,-7.086056414,-6.526305632,-6.597830349,-5.857256473298826,-6.904633144577026,-7.444019658607939,-7.486447589789124,-7.15007282241152,-6.625630219,-7.15007282241152,-6.581868377,-0.067826426,-7.91987503,-5.21250968394021,-5.803707174000219,-6.034305114320975,-6.05505781222958
