dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-3.838511562,-3.364080727,-3.447880787,-5.04896481333157,-4.352466330803388,-3.946708619,-3.8912406993340434,-4.346131297,-3.808704783917429,-3.808704783917429,-3.755455398,-3.8167779,-4.356744159,-5.103697590691921,-3.9942081639484472,-4.032628320161439,-4.661855311235746
2000-01-04,-4.835102375,-4.218822848,-4.286690433,-5.051996225577999,-5.798065038560979,-4.094941669,-4.170739221956792,-4.561689432,-4.203216613017387,-4.203216613017387,-4.166864804,-4.0896703,-4.873935363,-3.8106963873474937,-4.034006126836362,-4.423037025093155,-4.251672751661543
2000-01-05,-6.043702449,-5.313634513,-5.36441252,-5.05503753824797,-5.707962739804732,-4.429746624,-4.512354188248867,-5.187906582,-4.772202093333206,-4.772202093333206,-4.804997066,-4.5296619,-5.610552316,-3.7015491395113966,-4.08096213705325,-4.702476382079029,-4.28005240412446
2000-01-06,-5.719254667,-5.048584181,-5.110051937,-5.058089178581599,-5.911695699206269,-4.377230979,-4.527435584661382,-5.744359669,-4.535981547456112,-4.535981547456112,-4.681985853,-4.4048519,-5.364611498,-3.930092352376074,-4.078512428298824,-4.087101136420456,-4.153720770919274
2000-01-07,-5.412671073,-4.777435621,-4.842807032,-5.0611514741646815,-4.933376406858182,-4.431494637,-4.2745323445404,-4.726037324,-4.477527356735448,-4.477527356735448,-4.58516393,-4.327938,-5.221470642,-3.727474181106948,-4.045935838294825,-4.139552191795215,-4.206593832372854
2000-01-10,-5.132493414,-4.529197812,-4.597528556,-5.064224291403467,-3.5020381905829137,-4.864032077,-4.593392446369029,-5.47440612,-4.9705790215748165,-4.9705790215748165,-5.096225558,-4.624787,-5.690245122,-4.681039396519713,-4.045260702990791,-4.628898734289321,-5.041711035495953
2000-01-11,-4.9062931,-4.314162794,-4.387654134,-5.067305274012541,-3.803064821870054,-4.756807103,-4.094869679543177,-5.027732974,-4.578377821271728,-4.578377821271728,-4.734868221,-4.4988609,-5.443361967,-4.231598252291418,-4.035633504709356,-4.08678891399263,-4.64886214116857
2000-01-12,-4.670333029,-4.10553321,-4.180154063,-5.070399464846946,-3.7013035323262384,-4.322713037,-4.153605160264895,-5.261347563,-4.264055572315641,-4.264055572315641,-4.52283262,-4.3726887,-5.214126147,-4.3857261940394565,-4.0367464403023,-4.08752121009965,-5.54585226933038
2000-01-13,-4.455279178,-3.914965447,-3.990055054,-5.073500713023502,-3.462168722769308,-4.258318695,-3.998656523499891,-4.531635569,-4.003988050488014,-4.003988050488014,-4.324365878,-4.2532651,-5.003373125,-4.792996868661753,-4.017782937572958,-4.059213701571417,-4.883998697095293
2000-01-14,-4.259474315,-3.741037529,-3.816010913,-5.07660957939604,-3.3030486311366705,-4.176919652,-3.976780563293569,-4.631879111,-3.94388819281002,-3.94388819281002,-4.207684827,-4.0746248,-4.859571976,-4.957248459090551,-4.017720457111135,-4.10872296703016,-5.6236793513925125
2000-01-18,-4.620989483,-4.050003607,-4.133393865,-5.079035513018463,-4.486950022137785,-4.164317659,-4.052816656855779,-4.630335323,-4.027593494966466,-4.027593494966466,-4.161656981,-4.1865692,-4.904647078,-4.225898412821378,-4.026922703200119,-4.190770841674822,-4.492137548901458
2000-01-19,-4.962203639,-4.386442262,-4.478465722,-5.082859783589254,-4.448579639110921,-4.193895744,-4.265310693937497,-5.006316075,-4.183318728119615,-4.183318728119615,-4.212316201,-4.2248101,-4.963605523,-3.863416659848813,-4.038948050986283,-4.228189927006271,-5.369888869897521
2000-01-20,-4.721320004,-4.171589906,-4.263387367,-5.086000434239071,-4.594477284228545,-4.329172534,-4.01531418429894,-4.865402642,-4.025355490861239,-4.025355490861239,-4.109304169,-4.1157842,-4.779060988,-3.833700985841277,-4.024660498389615,-4.073666587558616,-5.523266762254946
2000-01-21,-5.047611277,-4.452931956,-4.554284316,-5.031378640965645,-5.283439736901543,-4.104159067,-4.100659707279488,-4.749258452,-4.123210046359498,-4.123210046359498,-4.100691082,-4.1460183,-4.844458237,-4.003058082036995,-4.037617390384029,-4.199405851057365,-3.501644485796972
2000-01-24,-5.070496851,-4.507087686,-4.620814703,-5.034279323368161,-5.015719969230987,-4.044663023,-4.132380842697706,-4.705661447,-4.12411124802058,-4.12411124802058,-4.040507857,-4.099357,-4.761967434,-5.215894697127386,-4.048935961799806,-4.12165036434538,-5.519936945025227
2000-01-25,-6.362584439,-5.620030075,-5.711024269,-5.0371859317991605,-7.034618645190342,-4.74676409,-4.589037139715496,-4.382552584,-4.686291745134207,-4.686291745134207,-4.748705076,-4.5788366,-5.594288745,-4.581430699915898,-4.112356810358485,-4.768128703345573,-6.314685939869513
2000-01-26,-6.001319939,-5.301136763,-5.39486085,-5.040103537549926,-5.883051223617079,-4.50276718,-4.385920115804949,-4.739568564,-4.495119436278772,-4.495119436278772,-4.653497056,-4.4497074,-5.359102911,-4.874806234510753,-4.1108728227811735,-4.101753898840412,-4.862307333105353
2000-01-27,-5.67064984,-5.00880418,-5.104356588,-5.042998230949366,-4.662804857127204,-4.670524392,-4.490733721807488,-5.136158004,-4.603283392842039,-4.603283392842039,-4.688990954,-4.4464701,-5.339976752,-4.458011477126758,-4.113959793451524,-4.275303829416651,-4.940961294712211
2000-01-28,-5.36823611,-4.741005363,-4.837578294,-5.045967149346172,-4.993401062605908,-4.390691179,-4.32214117184421,-5.254164529,-4.237854243469114,-4.237854243469114,-4.411124558,-4.3239726,-5.126916136,-4.317039959429572,-4.0837414974914505,-4.088183692332579,-4.258071364821517
2000-01-31,-7.304631113,-6.38611904,-6.437353351,-5.438650079687325,-7.268478558088839,-5.605225065,-4.818667450558728,-4.633935492,-5.024069813592359,-5.024069813592359,-5.502876713,-5.1299124,-6.482793535,-4.408197696261167,-4.189119383765864,-5.256581776848659,-5.252436080471792
2000-02-01,-6.864695461,-6.01072825,-6.071567753,-5.44206791149409,-6.951498820327398,-4.712036528,-4.596182903009922,-5.619552785,-4.782584798418403,-4.782584798418403,-5.388577537,-4.9791823,-6.181906849,-3.9317295802276746,-4.191160759848775,-4.165990233091145,-5.349388725224809
2000-02-02,-6.461320195,-5.659544776,-5.726325109,-5.445498501759215,-5.787141114884465,-6.616253096,-4.57156663815644,-5.340828392,-4.73161626322001,-4.73161626322001,-5.246287343,-4.8849973,-5.999395742,-4.397342142016107,-4.158995372745163,-4.2360343493902,-6.691113509146215
