dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-7.888763419,-4.496377326,-5.761150426,-6.978327754,-4.794781398,-4.198731365,-5.137503809,-5.038095472,-3.838511562,-4.286224409,-7.752385945,-5.16696249,-6.339363501,-4.265304352,-5.543383866,-5.59264319,-4.678699367,-4.090970382,-5.639407994,-4.69263026,-8.139934005,-5.112935629,-4.436924462,-4.924893213,-4.929325163,-4.208838495,-5.126795546,-4.171733045,-5.147832516,-4.032639372
2000-01-04,-10.37488336,-6.093625006,-6.011297994,-6.951073452,-4.714974975,-4.520732761,-5.088827302,-4.986196596,-4.835102375,-5.881616773,-7.954051946,-5.326737273,-6.621532029,-4.108518211,-7.251216261,-6.162091813,-4.71940489,-4.482554489,-5.29563337,-4.610757182,-8.350712368,-5.258506548,-4.723533772,-5.624142158,-5.430733908,-4.52786305,-5.077683313,-4.470158568,-5.857761579,-4.68183683
2000-01-05,-11.49960925,-6.867261115,-5.913590812,-6.911477042,-7.94366145,-4.444261493,-5.334468098,-5.080292784,-6.043702449,-7.27613503,-8.697433633,-6.170437388,-7.482510147,-6.134391276,-7.295427626,-5.913328142,-4.800094698,-4.905506375,-6.675066714,-5.842876041,-8.851184139,-6.228899196,-4.952831394,-6.224245327,-6.590912841,-4.648565928,-5.800557854,-4.90766786,-6.640421927,-4.957616738
2000-01-06,-10.21237393,-7.194538872,-5.817607319,-6.846183721,-7.36169167,-4.399919374,-5.391662227,-5.099929064,-5.719254667,-6.834777933,-8.30669351,-6.003206832,-6.90972743,-5.07520426,-7.123529815,-5.688718438,-4.743993196,-4.845377293,-6.065496579,-5.443501909,-8.73745593,-5.912024656,-5.178147243,-6.287535655,-6.368453274,-4.583697613,-5.535554833,-5.230401015,-6.605006492,-5.522123915
2000-01-07,-11.62130932,-6.845888543,-5.723631742,-6.896207625,-7.346529312,-4.634920216,-5.360973291,-5.534602033,-5.412671073,-7.883933788,-8.868905199,-6.256875497,-8.36833052,-4.707098124,-6.955368149,-5.469321727,-4.747027467,-4.949321208,-5.610865512,-6.22145514,-8.527142179,-5.835239145,-5.075064125,-6.113231145,-6.504001595,-4.481634645,-5.663372498,-5.01837661,-6.237426344,-6.044756096
2000-01-10,-10.72105824,-6.473915735,-5.631623699,-6.869625373,-6.803201195,-4.61360768,-5.30370241,-5.580040905,-5.132493414,-7.72308807,-8.772662525,-6.073172339,-8.081052848,-5.036313186,-6.797454692,-5.655177723,-4.748195564,-4.844400289,-5.274601698,-5.737810095,-8.299239214,-6.254875854,-5.101825473,-5.945133721,-6.194690814,-4.549542462,-7.103958761,-4.891076985,-6.239762799,-5.554812306
2000-01-11,-9.693631682,-6.139427053,-5.746064889,-7.037302946,-6.353785917,-4.695671863,-5.559289054,-6.030409935,-4.9062931,-7.234244556,-9.496622375,-5.941959638,-7.615277054,-5.281735582,-6.770792691,-6.290348293,-4.654825199,-4.824546477,-6.225982172,-5.355034582,-8.11658714,-5.89930637,-4.927992358,-5.78304304,-6.078609689,-4.826772352,-7.321795606,-4.674241144,-6.158213232,-5.317070594
2000-01-12,-9.713174223,-5.793075727,-5.848491908,-7.046214557,-7.281603614,-4.632033261,-5.443689097,-5.89526904,-4.670333029,-7.393050541,-9.198353876,-5.643851234,-6.735405581,-4.561869602,-6.821252542,-6.149632142,-4.644560252,-5.030722199,-5.730169763,-5.616006139,-8.020243928,-5.776465806,-4.786781919,-5.990528632,-5.974369274,-4.827315841,-6.549769306,-4.586279552,-6.018961399,-4.946164694
2000-01-13,-10.09756226,-5.556001479,-5.753869567,-6.964665581,-7.687365624,-4.552617298,-5.370708753,-6.765663937,-4.455279178,-7.04713128,-9.274090537,-5.351695566,-6.358017518,-4.234125996,-6.656023918,-5.912694517,-4.779799285,-4.729183286,-5.362585301,-6.24971347,-8.265713123,-5.698666295,-4.655490604,-5.826813748,-6.870591,-4.580446214,-6.33040923,-5.002594522,-5.990183375,-4.661528958
2000-01-14,-12.33436398,-5.230118499,-5.850176251,-6.865681253,-7.086056414,-4.481135603,-5.182719193,-6.713002267,-4.259474315,-6.613030917,-8.736595486,-5.462304284,-5.977800078,-4.036971334,-6.503738163,-5.884002984,-4.739662548,-4.427715349,-5.092144399,-5.80165765,-8.063186124,-5.901360186,-4.73978842,-5.668964108,-7.035858859,-4.496716931,-6.166179745,-4.91236749,-5.68680726,-4.69456267
