dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-7.677444432,-4.102106972,-5.284626377,-6.295708714,-4.355083012,-3.82536482,-4.779669547,-4.712308828,-3.364080727,-3.81691437,-7.310969521,-4.622220434,-5.750943031,-3.803966896,-4.848125946,-5.010169758,-4.389396717,-3.749839154,-4.454356772,-4.205695201,-7.925184245,-4.735786507,-4.012846288,-4.513013196,-4.345909311,-3.828490993,-4.807318581,-4.13470905,-4.917039621,-3.432526346
2000-01-04,-10.04972145,-5.670986267,-5.508273877,-6.270653449,-4.27979744,-4.163403834,-4.711454731,-4.670154044,-4.218822848,-5.383051371,-7.319593141,-4.754321429,-5.404071274,-3.657424469,-6.461480052,-5.487717284,-4.421813149,-4.071509962,-4.211820953,-4.133991518,-8.138173603,-4.866999435,-4.301630495,-5.152291809,-4.820822443,-4.158001562,-4.761923099,-4.42035503,-5.681798178,-4.258695817
2000-01-05,-11.07122999,-6.417867202,-5.447041978,-6.241310185,-7.340755869,-4.084061396,-4.945298432,-4.772219741,-5.313634513,-6.677781855,-7.576291191,-5.557771698,-6.640332079,-5.524383564,-6.551330542,-5.270870008,-4.497270964,-4.421288016,-5.230265674,-5.273405842,-8.640353988,-5.812658268,-4.500613442,-5.791915139,-5.778058202,-4.268232632,-5.42644112,-4.800483467,-6.462795412,-4.504135999
2000-01-06,-9.827790996,-6.706388629,-5.359475091,-6.182563789,-6.798830582,-4.055286568,-4.993006207,-4.805986841,-5.048584181,-6.28728314,-7.497457915,-5.395216663,-6.090661277,-4.525465566,-6.40265099,-5.075166229,-4.444904029,-4.303690978,-4.813283686,-4.897025143,-8.529119672,-5.495187762,-4.676170858,-5.871561387,-5.643371753,-4.223198876,-5.145738288,-5.114279516,-6.46636829,-4.970481951
2000-01-07,-11.08328554,-6.390770577,-5.273668556,-6.230791145,-6.783284341,-4.311453839,-5.006992353,-5.176882288,-4.777435621,-7.234130799,-7.686207412,-5.628037136,-7.492386228,-4.232979451,-6.25273884,-4.883094335,-4.443306188,-4.22372414,-4.489099388,-5.612489558,-8.386993419,-5.44125706,-4.521525753,-5.70880024,-5.78888386,-4.134671473,-5.308203656,-4.983546833,-6.068165437,-5.258924722
2000-01-10,-10.23727602,-6.041545121,-5.189586216,-6.205611327,-6.268062855,-4.270758865,-4.978864276,-5.23357619,-4.529197812,-7.07622591,-7.671670293,-5.456226326,-6.74495722,-4.584347125,-6.112849604,-5.040966636,-4.441150045,-4.10640791,-4.238580555,-5.158581964,-8.131656607,-5.914043617,-4.388628569,-5.551708085,-5.536009461,-4.215013199,-6.643612203,-4.774806011,-6.025229471,-4.59248765
2000-01-11,-9.267933018,-5.722106709,-5.271377,-6.383225926,-5.841578973,-4.398280258,-5.169105748,-5.660408181,-4.314162794,-6.641333525,-7.813646138,-5.326731525,-6.171172246,-4.613004121,-6.065073184,-5.503144441,-4.357639721,-4.144147539,-4.974941065,-4.806282529,-7.94534068,-5.525875624,-4.295183098,-5.400106875,-5.398019896,-4.4558093,-7.103795957,-4.540452016,-6.02628175,-4.53963704
2000-01-12,-9.222651544,-5.385331253,-5.393932258,-6.376934978,-6.699599792,-4.331724773,-5.11429148,-5.546248092,-4.10553321,-6.802706553,-7.795382885,-5.058819246,-5.728993758,-3.989726002,-6.113349012,-5.381174903,-4.345790052,-4.328691426,-4.614537657,-5.091873791,-7.841584098,-5.394276626,-4.1557079,-5.571036199,-5.309170582,-4.488034504,-6.317568467,-4.422602317,-5.932025528,-3.973307697
2000-01-13,-9.503001584,-5.149506759,-5.307433045,-6.294206644,-7.094235767,-4.250145873,-5.061519253,-6.295052462,-3.914965447,-6.469249766,-7.802922045,-4.799261052,-5.387071993,-3.707328379,-5.966937281,-5.183479403,-4.471780039,-4.176910074,-4.33534275,-5.654035141,-8.119293546,-5.315488412,-4.101075784,-5.418758337,-6.070411288,-4.247394456,-6.225895677,-4.830751512,-5.936785646,-3.759719241
2000-01-14,-11.9855746,-4.830987802,-5.405168093,-6.194536253,-6.526305632,-4.178133629,-4.903392181,-6.25007768,-3.741037529,-6.084691422,-7.701639724,-4.897605096,-5.327778573,-3.551942841,-5.832042256,-5.158201466,-4.431690162,-4.073981088,-4.120292945,-5.224811834,-7.921322615,-5.556861346,-4.266771652,-5.271820221,-6.125284189,-4.167291071,-5.99838374,-4.647912712,-5.584935298,-3.799229605
