dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-8.482255953,-4.510526961,-5.819102974,-6.771342922,-4.433755474,-3.975354404,-5.287408383,-5.131624196,-3.447880787,-3.95971445,-6.629983198,-5.037678233,0.082610496,-4.607497659,-5.084171998,-5.354877847,-4.714331849,-4.356869934,-5.129042051,-4.43690853,-8.913850723,-4.878284926,-4.113970209,-4.81778635,-4.942999287,-4.657329685,-5.948855566,-4.26622017,-5.231217368,-3.684763783
2000-01-04,-11.55619959,-6.036398285,-6.10641215,-6.764552298,-4.352534152,-4.369747515,-5.194551939,-5.085566315,-4.286690433,-5.600409501,-6.532345994,-5.412040247,0.082610496,-4.478946253,-6.805250462,-5.764843753,-4.707777597,-4.659907637,-4.86974943,-4.342059556,-9.199013769,-4.995210303,-4.397136357,-5.486501711,-5.672277033,-4.97776347,-5.994662637,-4.643204288,-5.990154061,-4.345058355
2000-01-05,-13.92381295,-6.764640925,-5.988806907,-6.711249344,-7.243649608,-4.271610699,-5.43800029,-5.153363688,-5.36441252,-6.989317981,-8.271859587,-6.546832618,0.082610496,-5.294213538,-6.91848859,-5.577425744,-4.721440153,-4.992823049,-5.641507175,-5.775260626,-9.939693823,-5.887657437,-4.595731071,-6.155925494,-7.134220259,-5.097175579,-6.257204097,-5.122564103,-6.777476136,-4.55877337
2000-01-06,-11.92933978,-7.052940158,-6.018819554,-6.656674163,-6.766982297,-4.236703545,-5.503951243,-5.169169001,-5.110051937,-6.627453816,-7.885952966,-6.308718332,0.082610496,-5.062018339,-6.742151712,-5.409820595,-4.700083582,-4.986248744,-5.312369215,-5.323639202,-9.820011034,-5.600557163,-4.772570582,-6.233152345,-6.811841952,-5.059913109,-5.995225761,-5.638628529,-6.804930104,-5.036269881
2000-01-07,-14.29133392,-6.787732381,-5.911485035,-6.759364901,-6.783016402,-4.491026895,-5.526687471,-5.501486607,-4.842807032,-7.659628354,-8.816407669,-6.666592277,0.082610496,-4.907382297,-6.566634637,-5.239925035,-4.680796872,-5.13867076,-5.027974601,-6.18300777,-9.519735793,-5.536251536,-4.615606126,-6.066663337,-6.966294244,-4.943390537,-6.815328579,-5.40048249,-6.419578675,-5.370359735
2000-01-10,-13.05402573,-6.477711158,-5.853923402,-6.75022139,-6.31001105,-4.442531698,-5.49760807,-5.565318874,-4.597528556,-7.516776043,-8.294953252,-6.346161092,0.082610496,-4.856690552,-6.407514847,-5.302133919,-4.706477367,-5.08834513,-4.782580419,-5.646487934,-9.077421088,-5.939106348,-4.467444059,-5.905616589,-6.500456071,-4.966889002,-10.14901549,-5.065602417,-6.349746329,-4.885300565
2000-01-11,-11.40968861,-6.187501206,-5.900849826,-6.920334116,-5.91216736,-4.603433832,-5.686646218,-5.871770959,-4.387654134,-7.114320607,-7.870220516,-6.189823521,0.082610496,-4.986967299,-6.360565923,-5.709473463,-4.661314042,-5.038141752,-5.366146167,-5.21928733,-8.793684962,-5.599191954,-4.382780648,-5.749851678,-6.219703647,-5.216607062,-9.366353794,-4.711174677,-6.368314507,-4.822774953
2000-01-12,-11.68346916,-5.871414283,-6.009799508,-6.888381581,-6.731007574,-4.525991422,-5.605807823,-5.768498306,-4.180154063,-7.321366447,-7.769943629,-5.700952888,0.082610496,-4.782132127,-6.427300454,-5.606450246,-4.674187767,-5.15347259,-5.074413523,-5.544512967,-8.70016867,-5.482845019,-4.247772914,-5.921511615,-6.050391929,-5.267174912,-8.145053954,-4.54794163,-6.289405199,-4.378285221
2000-01-13,-12.35847034,-5.629169375,-5.890032391,-6.800633829,-7.12422667,-4.426740936,-5.549233424,-6.415685053,-3.990055054,-7.010915641,-7.445045672,-5.235763383,0.082610496,-4.617350755,-6.251814998,-5.442319563,-4.841230443,-4.99418753,-4.822627771,-6.220348307,-9.094054438,-5.400327223,-4.199709222,-5.765224597,-7.225816486,-5.008938587,-7.598918712,-5.073702339,-6.306280902,-4.152769624
2000-01-14,-14.76117182,-5.319822401,-5.961698014,-6.69132656,-6.597830349,-4.340821475,-5.383163501,-6.372185251,-3.816010913,-6.628444065,-7.183331405,-5.476659986,0.082610496,-4.450619091,-6.096408033,-5.46177296,-4.805294113,-4.828238268,-4.605612272,-5.713180444,-8.781837567,-5.599340645,-4.365165733,-5.614079107,-7.246424515,-4.904163286,-7.745171297,-4.804596429,-5.960116206,-4.145631947
2000-01-18,-13.06985056,-5.235965438,-5.926991393,-6.580366055,-6.15408319,-4.25920877,-5.24910783,-6.63405759,-4.133393865,-6.276991488,-6.982690966,-5.170468695,0.082610496,-4.302169786,-6.033547956,-5.29886091,-4.760996741,-4.916737375,-4.596295831,-5.89593366,-8.569016666,-5.285515954,-4.231158315,-5.769030482,-7.250965056,-4.650187178,-6.995165617,-4.79205249,-5.801128144,-4.418189411
2000-01-19,-11.82460452,-6.494597029,-5.852773327,-6.836852824,-5.781342838,-4.299627776,-6.317756138,-6.567231048,-4.478465722,-6.506749167,-6.812993344,-6.282167478,0.082610496,-4.565172486,-6.542134905,-5.350614503,-4.814025169,-5.086856325,-5.76874339,-5.590645097,-8.546335005,-5.232222483,-4.112062675,-5.808702491,-7.16988261,-5.377733649,-8.486192979,-5.600860131,-5.531035002,-4.175887567
2000-01-20,-10.71473991,-6.52000239,-5.87660458,-6.778271362,-5.469348404,-4.291955067,-6.199840754,-6.432737991,-4.263387367,-6.211221799,-6.677750908,-6.065032618,0.082610496,-4.404038138,-6.506173063,-5.186327966,-4.810908649,-5.026840632,-5.422411418,-10.72360692,-8.43363022,-5.005390912,-4.202723079,-6.210847318,-6.878517019,-5.113088386,-7.679129962,-5.597884992,-5.816490033,-3.939623672
2000-01-21,-11.52232236,-6.256499947,-6.060777474,-7.110061631,-5.221503062,-4.206357674,-6.365558161,-6.65478603,-4.554284316,-6.264331933,-6.570252092,-5.845392835,0.082610496,-4.260870728,-6.327216302,-5.039980392,-4.763953143,-5.335949503,-5.123013048,-9.386441935,-8.635246508,-5.075725395,-4.54663581,-6.341464943,-6.473405371,-5.020018127,-7.606184413,-5.084900706,-5.700224175,-4.328830413
2000-01-24,-10.40894621,-5.866456648,-6.147508284,-6.975313895,-5.002987842,-4.141102927,-6.577749475,-6.801761636,-4.620814703,-6.202560738,-6.816913944,-5.585890334,0.082610496,-4.421334607,-6.257030763,-4.91428501,-4.91098921,-5.21755954,-5.002176759,-8.405560715,-8.688244883,-5.913917691,-7.004664449,-6.171444643,-7.102932899,-5.675366734,-8.923237826,-5.749210109,-5.703459455,-4.162922132
2000-01-25,-10.76536256,-5.510333377,-6.419958821,-7.284109661,-7.501030641,-4.052856671,-6.606924819,-6.695040254,-5.711024269,-6.778243768,-6.685493018,-5.179396755,0.082610496,-8.119022424,-6.085477365,-5.307510814,-5.083407902,-5.391448768,-5.581189296,-7.700338467,-8.797279397,-5.942176519,-6.72648859,-6.094223012,-7.117453576,-5.526632117,-10.46284577,-5.09829131,-7.100137224,-4.064513543
2000-01-26,-11.15678224,-5.673509197,-6.350309033,-7.4883698,-6.916382397,-3.970650521,-6.892376463,-6.905648117,-5.39486085,-7.243471714,-6.592286529,-5.810292132,0.082610496,-7.667954004,-5.957785723,-5.168385408,-5.035953134,-5.470778514,-5.260221679,-6.866103599,-8.828744046,-5.637359271,-7.657357026,-7.047833412,-7.966422427,-5.878603772,-8.894549732,-5.381679963,-6.73555932,-3.78808978
2000-01-27,-10.1390288,-5.394909528,-6.23362973,-7.440812393,-8.253805558,-3.922205152,-6.7301934,-7.016446405,-5.104356588,-6.869246202,-7.024133876,-6.359410501,0.082610496,-7.323024568,-6.012673564,-5.89710638,-6.700104638,-5.535873172,-4.982953549,-7.047714068,-8.533005436,-5.319274944,-7.344677217,-6.854941036,-7.228059527,-5.798725327,-7.84911433,-5.224691036,-6.361975604,-3.690807158
2000-01-28,-9.172466289,-5.272581765,-6.414708869,-7.330924951,-7.664324994,-4.455466453,-6.728935449,-6.891664853,-4.837578294,-6.487659549,-6.855906331,-7.133309519,0.082610496,-7.35183529,-5.915143763,-6.965541295,-6.843818015,-5.371522718,-4.74376482,-6.329854534,-9.137235942,-5.194550411,-7.048488808,-7.146414534,-7.283527128,-6.951497868,-7.688808323,-4.985654814,-7.43831547,-4.425405326
2000-01-31,-12.06036133,-5.782512905,-6.382691034,-7.367697266,-7.892960722,-4.508227933,-7.058891278,-6.853065153,-6.437353351,-7.445065797,-6.711914117,-7.345458666,0.082610496,-7.060567355,-6.842326007,-7.507990724,-6.818537279,-5.712627491,-4.537700789,-5.75519452,-8.951682168,-5.018882386,-7.428558636,-8.00863097,-6.733875117,-7.101120108,-8.219179052,-4.824117825,-9.389477459,-4.876524373
2000-02-01,-10.76699567,-5.90637773,-6.268880697,-7.40955528,-7.248425893,-4.432724659,-6.914726538,-6.836403232,-6.071567753,-7.022462259,-6.621888969,-6.589506868,0.082610496,-6.687506992,-6.846752478,-7.245719688,-6.761007994,-5.615426884,-4.360400538,-5.306206562,-9.241577775,-4.948255449,-7.127939565,-7.7849809,-8.535779302,-6.768600513,-7.455087085,-6.360888481,-8.821410439,-5.223317131
2000-02-02,-10.42377622,-5.811891707,-6.33906264,-7.307810119,-6.702750841,-4.34230847,-6.882221908,-6.781849567,-5.726325109,-7.274333193,-6.792165012,-7.018250204,0.082610496,-6.374044829,-6.75740903,-7.001804562,-6.723171137,-5.461392466,-4.814955479,-6.20478207,-9.001772809,-4.826705406,-7.049564776,-7.568460036,-8.025764182,-7.202771657,-7.510768575,-6.770500965,-8.45655292,-4.719956357
2000-02-03,-9.547728693,-6.252866361,-6.244259203,-7.168764233,-7.50717997,-4.262247369,-7.272811823,-6.732376003,-5.726815804,-7.292743414,-6.661178542,-6.657434288,0.082610496,-6.047753485,-6.681281868,-7.217398849,-6.744853086,-5.567282458,-4.599004085,-5.942954333,-8.716822843,-5.303445365,-6.867031164,-7.358857666,-7.32190503,-8.124201978,-7.526774301,-6.09589955,-7.958774181,-4.356564049
2000-02-04,-9.948430743,-6.045311208,-6.459015182,-7.235133249,-6.921586787,-4.245421351,-7.048975915,-6.62628457,-5.409375007,-6.896166255,-6.55709732,-6.365710968,0.082610496,-5.942911031,-6.50071264,-7.208267059,-6.686973318,-5.561757401,-4.584986198,-5.637349156,-8.403533135,-5.173310005,-6.68719042,-7.29758335,-6.956361977,-8.897182215,-7.149566341,-5.889535727,-7.455219671,-4.498665065
2000-02-07,-10.18542755,-5.877583296,-6.343370839,-7.088818222,-6.42682045,-4.618216801,-7.139270296,-6.487749932,-5.117689235,-6.483187836,-6.474572044,-6.520840964,0.082610496,-5.696070772,-6.45006916,-6.979476231,-6.613055869,-5.783797813,-4.773175626,-5.429202284,-8.62912096,-4.907456286,-6.980816612,-7.506021653,-6.330788355,-8.443861741,-7.226507428,-5.275066799,-7.904276929,-4.6506321
2000-02-08,-10.79243349,-5.556360022,-6.927265669,-7.149234522,-6.010281502,-4.516509221,-6.962556406,-6.378847367,-5.90424574,-7.070848837,-6.409253761,-6.656755737,0.082610496,-5.436349695,-6.273122665,-6.746853675,-6.541735195,-5.867612132,-4.563023856,-5.053312248,-8.961016121,-4.929011302,-6.918715331,-7.315349234,-5.840597019,-8.125883964,-7.295604741,-5.403556329,-7.539802751,-4.254096181
2000-02-09,-9.661496571,-5.237257803,-7.009660305,-7.032713397,-5.660849002,-4.44452078,-6.74524529,-6.370613666,-5.572475746,-6.797399829,-6.865829018,-6.457357713,0.082610496,-5.189791375,-6.195739512,-6.516234139,-6.591089192,-5.650109571,-4.382176833,-5.10915167,-11.74487547,-4.805388231,-6.645106946,-7.131147556,-5.414345385,-8.029986013,-8.414884903,-5.235028401,-7.292580106,-4.601587788
2000-02-10,-9.18820454,-6.121495163,-7.546626052,-7.371097667,-5.368732358,-4.980382081,-6.935561428,-6.227166365,-5.817193507,-7.416734652,-6.726053268,-6.564488692,0.082610496,-5.249871536,-6.319663991,-6.311521168,-6.530593428,-5.482778587,-5.953995035,-8.283522498,-12.9799754,-6.11515515,-6.652137549,-6.983452844,-5.243404068,-8.510749263,-9.137798884,-5.312442057,-7.509588963,-5.307251284
2000-02-11,-8.599631843,-6.063930665,-7.410033115,-7.444085421,-5.125345388,-4.953560628,-6.988155921,-6.317502147,-5.492448133,-6.971701148,-6.608615975,-6.093298951,0.082610496,-5.294714032,-6.146172955,-6.137792529,-6.467634434,-5.602540851,-6.472817992,-7.361246598,-12.32199918,-6.513305078,-6.852182078,-6.868380868,-5.123835154,-9.060336606,-10.18300483,-5.170562991,-7.275771463,-4.888029344
2000-02-14,-9.494175647,-5.835243975,-7.242541483,-7.889615171,-6.513686878,-5.266662637,-6.778189418,-6.251325454,-5.466918278,-6.540933399,-7.092822033,-7.043624665,0.082610496,-5.068374473,-5.998011897,-6.198103625,-6.419734709,-5.888825174,-7.644389668,-9.416661573,-11.77728797,-6.099316303,-6.582113536,-7.235296487,-5.977900065,-8.718900036,-10.12726424,-5.214873659,-7.128841761,-5.254319037
2000-02-15,-10.80805726,-5.490988954,-7.637578726,-8.083357544,-6.160718843,-5.137412257,-6.567125645,-6.376456979,-5.170551773,-6.133277288,-6.900966765,-6.344598451,0.082610496,-4.85553843,-6.658594856,-6.3809478,-6.448658214,-5.712101956,-7.049699835,-8.271715992,-12.33269549,-5.730156016,-6.628328663,-7.036374409,-5.678618891,-8.398424933,-9.036718916,-5.06645581,-6.844134088,-5.244591214
2000-02-16,-10.10265336,-5.535355998,-7.469453037,-8.043995258,-6.399260488,-5.405253205,-6.554507342,-6.27194938,-4.898353709,-5.978511476,-6.747813948,-5.835819105,0.082610496,-4.702134562,-6.518392149,-6.224182522,-6.378394772,-5.83330036,-6.655130828,-7.350439778,-13.02132179,-5.459991729,-6.370197897,-6.84385111,-5.303934093,-7.957153477,-9.149264592,-5.14225674,-6.707460741,-5.2879406
2000-02-17,-10.34471346,-6.16464318,-7.724648219,-8.017949501,-6.141770033,-5.27060041,-6.521581916,-6.124848842,-4.957936421,-6.890917201,-6.625910145,-6.033342473,0.082610496,-4.526253155,-6.497092305,-6.707466076,-6.31913578,-5.823460291,-6.224640344,-6.593099921,-13.1505634,-6.928251762,-6.386603434,-6.693530054,-6.12804033,-7.584827213,-8.864063884,-5.127398531,-10.17611595,-4.842718483
2000-02-18,-9.352986739,-6.899899855,-7.554074167,-7.924177914,-5.771019431,-5.139336104,-6.331466353,-6.12730567,-5.712555803,-7.900053582,-6.802444989,-5.57747003,0.082610496,-4.382638617,-6.405480808,-6.798310469,-6.257801144,-5.721550349,-6.733773267,-6.016478087,-12.96675297,-6.480020772,-6.14141485,-6.512077846,-6.139247034,-7.214000248,-8.441511682,-5.321720491,-12.30336622,-5.225049165
2000-02-22,-9.439284389,-8.527972629,-7.923807978,-7.96081524,-6.937724237,-5.13754435,-6.509361668,-6.302695392,-6.764397519,-7.670003644,-6.669357204,-6.77758026,0.082610496,-4.50509872,-7.116548932,-6.778853345,-6.347735239,-5.883663736,-6.712677301,-7.657869617,-13.17458622,-6.069606795,-5.970416823,-6.84242239,-6.983962848,-7.92236848,-11.60568354,-5.779033775,-11.55122973,-5.914935659
2000-02-23,-9.086072164,-7.986163924,-7.93297239,-7.83840098,-6.858206812,-5.02423699,-7.13002266,-6.823563801,-6.363733667,-7.200713064,-6.615379938,-6.885351311,0.082610496,-4.359082498,-6.991332016,-6.549328728,-6.280514911,-5.846718718,-6.24029961,-6.877642697,-13.39762131,-5.939871701,-5.842956291,-6.656155196,-7.784035226,-7.574297488,-10.100299,-5.400376788,-10.7151067,-5.320605169
2000-02-24,-8.81569719,-7.607519963,-8.367134259,-7.752601319,-6.373379973,-5.232231614,-7.308022128,-6.733777246,-5.995052077,-6.82998897,-6.520764225,-7.274924438,0.082610496,-4.92424035,-6.794423141,-6.413532502,-6.217421242,-5.789737687,-6.810623467,-6.18074041,-12.99162576,-5.637714233,-6.037799537,-6.60978994,-7.629101855,-7.324409292,-9.775776783,-5.933557471,-10.35346756,-5.075796184
2000-02-25,-8.380029063,-8.896948125,-8.338653087,-7.99036501,-6.222911783,-5.288910094,-7.441808659,-6.894699184,-5.655965739,-7.275027394,-6.517339264,-6.680859846,0.082610496,-5.284577294,-6.73488255,-6.628616768,-6.32145568,-5.849935489,-6.724276138,-5.629383142,-13.22170475,-5.983937095,-6.199253278,-7.013921714,-7.094391153,-8.065469185,-12.56876997,-6.562349467,-9.644574098,-5.332193466
2000-02-28,-9.370814188,-9.39965359,-8.212659095,-7.854837843,-7.106281885,-5.165157106,-7.399965567,-7.467963499,-6.42310369,-6.824682816,-7.048054923,-7.200025013,0.082610496,-5.286152368,-6.549263313,-6.709656262,-6.265014878,-6.317922816,-6.987018465,-6.572682244,-13.06997724,-6.038250118,-6.713728593,-6.981037103,-6.48930372,-7.668902828,-11.48570108,-6.102130224,-11.25537826,-5.531272294
2000-02-29,-9.129887483,-9.475016361,-8.276943364,-7.761193538,-7.054819412,-5.419157959,-7.251880216,-7.465898774,-6.049671802,-6.89271119,-6.865187679,-8.020537683,0.082610496,-5.054629138,-6.421146155,-6.49369085,-6.197034963,-6.153168936,-6.478436615,-5.937429283,-12.73608073,-5.733154794,-6.451038386,-6.790296975,-6.988920195,-7.317647107,-9.688041719,-6.888698389,-10.51271734,-5.464160305
2000-03-01,-8.631553188,-8.907141819,-8.090270101,-7.686353913,-6.539231855,-5.282407326,-7.059922319,-7.40824635,-5.706190118,-6.490020364,-6.719306353,-8.064555364,0.082610496,-4.866878864,-6.277647246,-6.424873873,-6.159355755,-6.06567182,-6.044473822,-5.898382779,-12.25635233,-5.417424061,-6.260309752,-6.616326168,-6.800246556,-7.745480252,-8.55318155,-6.683943775,-9.9023741,-5.244286204
2000-03-02,-14.55659488,-8.36662894,-8.095423209,-7.550165168,-6.191711729,-5.15784524,-7.602210186,-7.294547067,-5.538248671,-7.002461823,-6.64321678,-8.426426658,0.082610496,-4.688391423,-6.173346804,-6.336996337,-6.116713444,-6.223470849,-6.295153206,-5.444121863,-11.97498628,-5.2193125,-6.021905814,-6.448192805,-9.156814651,-7.391062794,-9.631054843,-9.067000357,-9.213948318,-4.826042113
2000-03-03,-14.34935393,-8.134546052,-8.01358358,-7.469183617,-5.812897596,-5.034615503,-7.905847892,-7.188964473,-5.23608766,-6.746346616,-6.542844181,-7.760260085,0.082610496,-4.514106343,-6.144823187,-6.533425904,-6.063702067,-6.030617981,-6.142935029,-5.291429838,-11.68921545,-4.949094687,-5.930046387,-6.275624387,-10.1983259,-7.012402151,-10.08432276,-8.087268546,-8.64735142,-4.517705473
2000-03-06,-13.15660184,-7.603688607,-7.821590231,-7.57213666,-5.495717863,-4.981156203,-8.579976001,-7.198965615,-4.958531828,-6.577125269,-6.463283377,-7.416140832,0.082610496,-4.359148298,-5.979940962,-6.320649592,-6.18809645,-6.030069578,-6.508461191,-5.218772682,-11.17389744,-4.801226342,-5.70946518,-6.107749826,-9.329447954,-6.720611893,-9.65239338,-7.043672045,-8.166494966,-4.626062618
2000-03-07,-11.49196175,-7.964076865,-7.916279746,-7.433420259,-5.492507156,-4.87834242,-9.095662866,-7.193487073,-5.026049937,-6.42970386,-6.400326958,-8.696401226,0.082610496,-5.522159424,-5.883068995,-6.420624539,-6.177886687,-6.207155999,-6.454705334,-8.709268353,-11.37119803,-5.353823862,-5.649127594,-6.540114267,-9.895964352,-6.52960037,-9.924637979,-7.221607252,-8.700137428,-5.413245478
2000-03-08,-10.47910972,-7.993133781,-7.84496999,-8.299381099,-6.395416416,-6.122023525,-10.21871569,-7.021109585,-6.587977195,-6.789984319,-6.647708745,-7.722131271,0.082610496,-5.626040503,-5.904731297,-6.887615475,-6.469975952,-6.623200053,-7.302550148,-7.751176549,-11.39402569,-6.975298627,-18.68953865,-6.363635255,-9.933390353,-6.657079811,-11.83261628,-7.122828585,-9.90900116,-6.499628879
2000-03-09,-9.450937282,-8.214511823,-8.195659537,-8.240993358,-5.983894636,-5.960503726,-10.00378016,-7.197189511,-6.201374149,-6.351435719,-6.685263894,-7.224446571,0.082610496,-5.435889346,-6.285344488,-6.653873911,-6.463718626,-6.456942841,-6.752530563,-7.029528731,-11.42635938,-7.343330501,-18.51250295,-6.52881168,-9.110237882,-6.709587151,-11.06218843,-6.835083436,-9.235617245,-5.867402255
2000-03-10,-8.717461554,-7.669679502,-8.019537403,-8.084608358,-5.638755991,-5.902928331,-9.936472169,-7.145103837,-6.048452557,-6.314251375,-6.57621704,-6.645206079,0.082610496,-5.211160617,-6.167467768,-6.60611674,-6.524709275,-6.563304282,-6.274882788,-6.956735333,-11.36701564,-7.33303932,-17.67384629,-6.670096192,-8.273683176,-6.673251046,-10.1292905,-7.239995263,-8.619840978,-5.34460031
