dates,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,RTX,VZ,WMT,XOM
2000-01-03,-8.813537796,-4.503556666,-4.699883967,-7.027700678,-4.346328548,-4.261042783,-4.981566899,-5.014617694,-4.346131297,-3.961915452,-8.61770451,-5.050035598,-5.995563773,-4.584768106,-5.180537027,-5.136580288,-7.230321914,-4.463300959,-5.230914957,-4.410768716,-8.704222892,-5.095652635,-4.018129716,-4.973634432,-4.245938482,-6.022355849,-4.950173395,-4.649309026,-5.228745952,-4.306890043
2000-01-04,-11.53245271,-6.034513312,-5.735914436,-7.228860936,-4.210906715,-4.595511882,-4.914681123,-4.978239696,-4.561689432,-5.407517675,-8.609798091,-5.36206958,-5.531202497,-4.360431701,-6.553503796,-5.581575837,-11.51577048,-5.013900246,-4.957958083,-4.200976229,-8.920866598,-5.26826663,-4.328321969,-5.691824254,-4.520764759,-6.061208245,-5.577436817,-5.028251145,-5.972111945,-4.645278015
2000-01-05,-13.2706866,-6.762456906,-5.233308368,-7.132924248,-6.626891918,-4.424258591,-5.167465273,-5.122980269,-5.187906582,-6.653889692,-8.900333031,-6.36958963,-6.863055622,-4.809342309,-6.876948567,-5.362950117,-14.87046265,-5.239365182,-5.70322218,-5.375084022,-9.746657274,-6.064610875,-4.564112876,-7.149183087,-4.605585972,-6.264905261,-6.224802551,-5.541085532,-6.74077771,-4.785693021
2000-01-06,-11.63818759,-7.062953569,-6.798637616,-7.134736716,-6.372657697,-4.396575048,-5.218974384,-5.180035018,-5.744359669,-6.345423982,-8.842054409,-6.170448312,-6.47223028,-5.230107081,-6.685346357,-5.182586003,-11.85683289,-5.673502167,-5.222108959,-5.016952822,-9.684525924,-5.750434714,-4.77874519,-6.806633656,-4.55612285,-6.003391204,-6.411699113,-5.931095069,-6.868577692,-5.601189377
2000-01-07,-13.4383958,-6.796249402,-6.233764603,-7.443269989,-6.62241834,-4.567847129,-5.236209782,-5.580573313,-4.726037324,-7.293636516,-9.068136752,-6.380903141,-7.966915304,-5.012906195,-6.433265581,-4.988475949,-12.34524851,-5.727859252,-4.942654243,-5.926484744,-9.290759448,-5.708186603,-4.678621464,-6.934060571,-4.472481552,-6.831661696,-6.228310811,-5.618035958,-6.427889524,-6.855863619
2000-01-10,-12.82290354,-6.479732373,-6.368827486,-7.564099958,-6.140116955,-4.529007205,-5.209602849,-5.632852792,-5.47440612,-7.188231968,-9.045663547,-6.112297728,-7.19455386,-5.691290548,-6.224239085,-5.010933032,-11.43484847,-7.400198069,-4.348912724,-5.489091093,-8.835306173,-6.049411217,-4.656394095,-6.452730362,-4.549535795,-10.32981573,-6.038439708,-5.23906745,-6.429178044,-6.080897852
2000-01-11,-11.42084073,-6.185935409,-6.185834681,-7.687679961,-5.748363299,-4.732974603,-5.41831108,-6.202217268,-5.027732974,-6.848857528,-9.124757612,-5.988257939,-6.559143052,-6.147523403,-6.325882261,-5.458549361,-8.294012152,-7.156655144,-5.023167146,-5.028427663,-8.541550562,-5.646377111,-4.574994028,-6.171078295,-4.751910804,-9.448098824,-5.804081448,-4.862870299,-6.534167035,-5.875814314
2000-01-12,-11.74631922,-5.859669699,-6.24124163,-7.638784934,-6.614172343,-4.676116374,-5.366544184,-6.070989774,-5.261347563,-7.092197617,-9.141561697,-5.657149937,-6.044755483,-5.894812911,-6.572497792,-5.351959837,-8.633673861,-6.761348772,-4.793507554,-5.592681494,-8.517534243,-5.605246946,-4.423193538,-6.001527476,-4.773494206,-8.266448383,-6.076552856,-4.664661178,-6.526889045,-5.378797647
2000-01-13,-12.31850643,-5.622182254,-5.668141611,-7.583272286,-7.144406316,-4.547171004,-5.312804915,-6.898223328,-4.531635569,-6.843720557,-9.135082916,-5.346052847,-5.76157972,-4.518427725,-6.277274863,-5.180060871,-12.20559615,-5.91432442,-4.525054234,-6.287166616,-8.873161247,-5.54783649,-4.387484832,-7.160419799,-4.546376545,-7.727179889,-5.863658393,-5.296199735,-6.609602059,-4.802164075
2000-01-14,-14.39976867,-5.29582658,-5.758910702,-7.463071526,-6.625630219,-4.444591144,-5.13097208,-6.851549032,-4.631879111,-6.49418223,-9.047966932,-5.450431749,-5.702877001,-4.658046334,-6.057644395,-5.276458242,-11.10296905,-5.328304227,-4.360380839,-5.890031838,-8.544273516,-5.739326871,-4.573588604,-7.158234115,-4.473076719,-7.88141499,-5.638372422,-4.982706354,-6.154137922,-5.078652073
2000-01-18,-13.13082363,-5.227276743,-6.325005397,-7.295557408,-6.193197368,-4.366980617,-4.996518589,-7.129005309,-4.630335323,-6.183264627,-8.968802754,-5.224819622,-4.961607227,-4.442984392,-5.985150514,-5.099481447,-8.325733058,-5.292740254,-4.459351589,-6.135499606,-8.341978532,-5.328313335,-4.425666486,-7.149731646,-4.26055201,-7.147218765,-5.895364588,-4.867699359,-6.044006461,-5.191281194
2000-01-19,-12.20534168,-6.477875154,-6.247115089,-7.494075554,-5.789708753,-4.411454802,-5.876114106,-7.047600416,-5.006316075,-6.434595669,-8.899031764,-6.194143221,-5.231941647,-3.92176893,-6.639269964,-5.110976941,-17.74533108,-4.80884655,-5.594565656,-5.975103589,-8.23025863,-5.354164481,-4.275744254,-7.053864315,-4.962018402,-8.3659726,-6.036446323,-5.713524111,-5.737784579,-4.888050912
2000-01-20,-11.27667952,-6.523348573,-7.305907239,-7.416307907,-5.483959073,-4.458052738,-5.790530876,-6.86997828,-4.865402642,-6.16764298,-8.860577256,-6.003942544,-5.776880881,-4.989300998,-6.580078326,-4.929989888,-14.3260006,-5.522966945,-5.25392824,-8.464465788,-8.178683178,-5.104440439,-4.391465122,-6.756139431,-4.724040363,-7.676756954,-6.49105488,-5.669599829,-6.072286137,-4.616295055
2000-01-21,-12.07457664,-6.259882241,-7.233925523,-7.684484063,-5.267809883,-4.360330135,-5.987194477,-7.097704993,-4.749258452,-6.256616963,-8.770451716,-5.789680913,-6.971119797,-4.100926522,-6.291501761,-4.778187229,-10.19471427,-4.899652144,-4.919038659,-7.457716378,-8.312297344,-5.249277314,-4.733954782,-6.351856808,-4.623173845,-7.664050776,-6.720828095,-5.152272579,-6.004488021,-4.927148047
2000-01-24,-10.97822843,-5.82985807,-6.932694446,-7.498851937,-5.003449735,-4.290581919,-6.223625497,-7.229835075,-4.705661447,-6.234918761,-8.807041923,-5.580946337,-6.481427462,-3.735568821,-6.342380169,-4.653286568,-24.74414512,-6.271873052,-4.901411873,-7.156601244,-8.282734649,-6.022453953,-6.692077521,-6.976508782,-5.234204697,-8.72612808,-6.478927589,-5.794294002,-6.062320454,-4.818362397
2000-01-25,-11.22900038,-5.442922662,-7.257444366,-7.752231737,-7.07655727,-4.151591301,-6.24488965,-7.093142685,-4.382552584,-6.76700051,-8.725115873,-5.294603777,-6.160511652,-4.581002003,-6.03257005,-5.083655782,-29.33738807,-5.589545348,-5.512787971,-7.049785637,-8.317915503,-6.133923428,-6.368741686,-6.97994434,-5.113981926,-9.954601879,-6.474529283,-5.196024035,-7.217666257,-4.583609607
2000-01-26,-11.72557088,-5.625556722,-7.141373156,-7.942188111,-6.562023079,-4.042943671,-6.543894058,-7.47422722,-4.739568564,-7.205370739,-8.654416428,-5.739685095,-5.805375754,-6.130742979,-5.87426159,-4.941217778,-20.53936109,-5.931806522,-5.187935829,-6.368078933,-8.274033056,-5.790361207,-7.238167122,-7.794680931,-5.404656854,-8.577211175,-7.310744568,-5.497177746,-6.843017418,-4.212115375
2000-01-27,-10.71157462,-5.343935289,-6.497339407,-8.005168842,-7.85511903,-4.02571039,-6.400839081,-7.555673915,-5.136158004,-6.851044832,-8.734243097,-6.123516053,-7.179066448,-5.638341206,-5.910853153,-5.630587236,-93.73621694,-5.60526333,-4.831931338,-6.862760739,-7.991097125,-5.372636138,-6.933039718,-7.007521214,-5.364495186,-7.690677544,-7.043041032,-5.297869252,-6.419742832,-4.078734062
2000-01-28,-9.445766917,-5.237633179,-6.706836437,-7.839289155,-7.486587803,-4.445559142,-6.439818716,-7.389868165,-5.254164529,-6.485238925,-8.658658987,-6.738682784,-6.683851437,-5.292496087,-5.801459478,-6.579388677,-67.46163556,-6.70490136,-4.565385691,-6.207818867,-8.666589017,-5.311490962,-6.655317347,-7.061083994,-6.515162654,-7.571686612,-7.426981263,-4.9920932,-7.390532176,-4.987751636
2000-01-31,-11.6347702,-5.761765663,-6.25395535,-7.853257158,-7.891846697,-4.565293757,-6.773183398,-7.300685888,-4.633935492,-7.335660992,-8.57374479,-6.843001275,-7.590445751,-5.733841712,-6.756174625,-7.149528945,-50.8585026,-5.63702186,-4.282044678,-5.685186113,-8.410316174,-5.139407332,-7.07628101,-6.51117672,-6.596218488,-8.023695854,-8.234929023,-4.814086026,-8.98884264,-5.240101089
2000-02-01,-10.74885341,-5.900795964,-5.662971734,-7.87956938,-7.226214294,-4.489213286,-6.630986516,-7.238193212,-5.619552785,-6.936024225,-8.510609711,-6.356518245,-6.844434581,-6.664804755,-6.740992464,-6.852961996,-35.69890381,-7.204919111,-4.038843105,-5.252930312,-8.658112971,-5.089182911,-6.731272304,-8.361075693,-6.292011226,-7.395319926,-7.910576708,-6.83902747,-8.426910553,-5.821143511
2000-02-02,-10.61499751,-5.819712141,-5.793040095,-7.805364445,-6.638313507,-4.393075231,-6.59591864,-7.135452318,-5.340828392,-7.135704451,-8.533756793,-6.635983028,-6.37411545,-5.616697685,-6.636464175,-6.58647815,-29.28893294,-5.977910693,-4.582635198,-5.955403176,-8.446068,-4.975349461,-6.713766761,-7.822474987,-6.643374479,-7.52198456,-7.60239182,-7.203614708,-8.139147487,-5.571764048
