dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-9.119958192,-5.377834368,-6.069521791,-7.027700678,-5.431823921,-6.020926945,-5.869938671,-5.869938671,-5.420356422,-9.329616609,-5.013837872,-5.013837872,-5.785315911,-5.020726963,-5.678399623,-4.831441008,-5.137587254,-4.774853446,-5.489940172,-5.091634033,-9.19290107,-5.57577734,-4.61382596,-6.36996183,-5.245467592,-5.349535908,-6.293791904,-4.965254424,-6.534635252,-4.306890043
2000-01-04,-12.02653876,-6.435225651,-6.299883225,-7.228860936,-5.219843436,-5.899210566,-5.908890661,-5.908890661,-6.260833276,-9.330796041,-6.705588434,-6.705588434,-0.430430438,-4.91184063,-6.863575762,-5.287042877,-5.258249382,-5.000738463,-5.267151675,-4.865824656,-9.139035795,-5.628545601,-4.757929278,-6.839951361,-5.888118565,-5.494883025,-6.401721917,-5.354594831,-6.866238068,-4.645278015
2000-01-05,-13.92254103,-6.952266449,-6.057514024,-7.132924248,-6.738373472,-6.045788233,-6.310882194,-6.310882194,-7.129623083,-9.642000282,-7.066947528,-7.066947528,0.312865204,-5.396929058,-6.96747633,-5.009546104,-5.30833651,-5.279986335,-5.666959106,-5.855725346,-9.762759518,-6.138524707,-4.865415512,-7.224833137,-7.653566515,-5.451861598,-6.579865425,-6.011216979,-7.256208402,-4.785693021
2000-01-06,-12.06718256,-7.154668314,-6.802245533,-7.134736716,-6.482066114,-6.27274568,-6.506155072,-6.506155072,-7.024908814,-9.551582937,-7.319653931,-7.319653931,0.081344884,-5.178183054,-6.670993566,-4.880998408,-5.309601079,-5.402039638,-5.968050684,-5.570314876,-10.26606968,-6.096365575,-4.963293657,-7.108014531,-7.153728262,-5.286341428,-6.229565284,-6.33006638,-7.23712777,-5.601189377
2000-01-07,-14.07935734,-7.075936599,-6.662550447,-7.443269989,-6.553939729,-6.385343943,-6.743758151,-6.743758151,-7.814622492,-9.788495359,-7.137503347,-7.137503347,-7.012865689,-5.433201676,-6.544619923,-4.615259995,-5.296263158,-6.221750091,-5.788553977,-6.318428126,-9.616226576,-6.447369926,-5.45146587,-7.654772982,-7.242688588,-5.377734247,-7.499688662,-5.95006588,-6.932820458,-6.855863619
2000-01-10,-13.36767383,-6.901641182,-6.817516502,-7.564099958,-7.538980121,-6.415495487,-6.707029853,-6.707029853,-8.653090141,-9.746918619,-6.706110755,-6.706110755,0.521713951,-5.949905062,-6.48430377,-5.710271139,-5.376520673,-6.278670193,-6.901742811,-6.001408706,-8.982195229,-7.508104232,-6.690025378,-7.86077165,-6.71153256,-5.922583508,-12.66486854,-5.673678288,-8.002247948,-6.080897852
2000-01-11,-11.80362895,-6.728163486,-6.75388935,-7.687679961,-7.873979381,-6.542598102,-8.07565957,-8.07565957,-8.045820577,-9.974533689,-7.141033071,-7.141033071,0.867959224,-6.001942561,-6.511615182,-5.990726509,-5.268229458,-6.077787335,-6.968471772,-5.628928443,-8.743675906,-7.093599189,-6.350190117,-7.455910863,-6.501387737,-5.952636033,-10.9376987,-5.363278616,-7.818660079,-5.875814314
2000-01-12,-12.22175531,-6.474106931,-6.739790478,-7.638784934,-8.148846666,-6.394776613,-7.875408955,-7.875408955,-8.051317333,-9.955843601,-6.746471613,-6.746471613,-8.45832431,-5.485497351,-6.617589185,-6.246512213,-5.355469322,-6.0974721,-6.630891964,-6.072796152,-9.281914976,-6.906828798,-6.225962185,-7.486333475,-6.28784621,-5.83650831,-9.243506184,-5.203264446,-7.624426412,-5.378797647
2000-01-13,-12.93041006,-6.2070741,-6.538925515,-7.583272286,-8.228238549,-6.408742243,-8.578814406,-8.578814406,-7.634981256,-10.00556658,-6.326248401,-6.326248401,-7.413045419,-5.220111421,-6.357179502,-6.07811577,-5.596238216,-5.880267691,-6.563798413,-6.677836388,-9.363302002,-7.139584781,-6.017712869,-7.476709344,-7.539625931,-5.531467531,-8.338635278,-5.845591807,-7.500787045,-4.802164075
2000-01-14,-15.31790685,-5.921983319,-6.517029941,-7.463071526,-8.057284289,-6.178054672,-8.682547164,-8.682547164,-7.39457348,-9.919833932,-6.181042083,-6.181042083,0.522366279,-4.821304555,-6.25758207,-6.01939361,-5.535167894,-5.690947012,-6.316998066,-6.455054798,-9.007335624,-7.816231818,-6.006101385,-7.152178908,-7.691196822,-5.643000285,-8.611589213,-5.672110595,-7.004559356,-5.078652073
