dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-8.958564239,-5.433640187,-5.969557128,-6.134789496,-4.832059113,-4.301092659,-5.435678507,-5.242837676,-3.755455398,-5.106452059,-6.734765811,-5.647356288,-7.875603032,-3.949459042,-5.310976323,-4.162595703,-4.754867583,-4.139821644,-4.098464891,-5.09588166,-6.399384689,-5.029812993,-4.212146118,-5.873436334,-4.704953065,-4.097312189,-5.265344655,-4.682628442,-6.714378851,-4.122137361
2000-01-04,-11.27675616,-6.886880989,-6.09755962,-6.512413545,-4.763219119,-4.855459557,-5.164503548,-5.258445187,-4.166864804,-6.192546895,-6.55922217,-7.457034714,-7.679371393,-3.90612985,-6.051265302,-4.470867072,-4.507799675,-4.810094478,-4.0326642,-4.982616617,-7.532722554,-5.003441804,-4.337248781,-5.938807654,-5.559579426,-4.235216962,-5.239331497,-5.121977459,-7.170861765,-4.548592064
2000-01-05,-13.21485177,-7.311392842,-6.074165352,-6.536068416,-6.792901342,-4.556051833,-5.090627093,-5.906953338,-4.804997066,-7.183823788,-8.097761722,-7.370618077,-7.878034876,-4.762101453,-6.25969893,-4.389952089,-4.519070288,-5.456444809,-4.512225048,-5.998481931,-10.1661136,-5.544361003,-4.362933657,-6.281787197,-7.259419386,-4.191846802,-5.537488984,-5.516459731,-7.547752405,-4.553826267
2000-01-06,-11.37566848,-7.230928366,-6.791798611,-7.037380306,-6.246722404,-4.447708077,-5.631198957,-6.086724006,-4.681985853,-7.171865996,-7.523177999,-7.419388446,-7.631961265,-4.540371104,-6.232098634,-4.261845242,-4.506654977,-5.395898063,-4.897725414,-5.589502141,-10.11555458,-5.678356143,-4.392433839,-6.291772132,-6.465987456,-4.056773487,-5.318473459,-4.925212634,-7.384921167,-4.976212754
2000-01-07,-13.44697519,-7.139673286,-6.584244595,-7.056193443,-6.080564409,-4.716926519,-5.578895697,-6.197431303,-4.58516393,-7.618904933,-8.333644986,-7.238482984,-7.916620003,-4.881573296,-6.243522335,-4.051100204,-4.480785828,-8.387259462,-4.532055887,-6.345416418,-6.808989452,-6.11073505,-4.751549227,-7.441469664,-6.742758746,-4.210262428,-6.765097343,-5.240533187,-7.043412345,-6.130392646
2000-01-10,-11.90011926,-6.932168788,-6.677176208,-7.069587522,-7.104133668,-4.8542665,-5.508787729,-6.171348623,-5.096225558,-8.642978782,-7.669762774,-6.938512962,-7.872721608,-5.544695418,-6.138475607,-6.193447083,-4.542864858,-7.325375186,-7.785457261,-5.851512247,-6.34262045,-7.840490348,-6.507850574,-7.492619622,-6.207117006,-5.106997525,-16.30727161,-5.033526071,-8.776301316,-6.054135671
2000-01-11,-11.01981454,-6.622807539,-6.525594596,-7.351548785,-7.130094543,-5.198830821,-5.2195476,-10.00077262,-4.734868221,-7.929142202,-7.988199351,-7.142088043,-7.810264903,-5.071594503,-5.822752275,-6.062355625,-4.478510744,-6.338460079,-6.909165052,-5.529308401,-6.704841768,-7.092851568,-6.299172704,-6.918544105,-5.975025575,-5.00927857,-13.06790158,-4.853561176,-8.646034698,-5.898939642
2000-01-12,-11.34071972,-6.437352954,-6.450156358,-7.439537262,-7.161397023,-5.027158946,-5.21622501,-9.635116473,-4.52283262,-7.675811408,-8.168645693,-6.891153437,-7.733599433,-4.405293367,-5.724329503,-6.38575574,-4.515839711,-5.829310226,-6.003046747,-5.906793993,-9.244431621,-6.717103835,-6.075206523,-6.589626417,-5.991636931,-4.869634747,-10.27224445,-4.78194725,-8.314529372,-5.534649997
2000-01-13,-11.90234578,-6.21774089,-6.411406855,-7.313148184,-6.987375822,-4.898727337,-5.406462369,-10.4943506,-4.324365878,-7.277042235,-7.808721697,-6.658173142,-7.757280047,-4.023069853,-5.743492364,-6.095549663,-4.808510541,-5.127645343,-5.49061449,-6.441419572,-8.167028627,-7.046089226,-5.901326586,-6.877254492,-7.269849316,-4.675741103,-8.541212232,-5.390683656,-8.023579529,-5.372058698
2000-01-14,-13.44575537,-6.028548113,-6.320791677,-7.306119045,-6.581868377,-4.746579163,-5.226660861,-10.33689676,-4.207684827,-7.002020239,-7.71816743,-6.502739951,-7.772033924,-3.791511139,-5.699928274,-5.860487695,-4.763795657,-4.55434243,-4.935018885,-6.042242419,-6.687880115,-7.859217244,-5.80758791,-6.495618805,-7.058404035,-4.75209582,-8.128621626,-4.976484981,-7.481627784,-5.193433792
