Dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-7.9096341,-4.7630203,-4.8237136,-5.8291162,-4.8817387,-3.8250966,-4.5947286,-4.2516601,-3.8167779,-4.4147272,-6.3144668,-4.6538071,-6.0813083,-3.7710905,-4.9022695,-4.2764276,-3.9385383,-3.807609,-4.2454931,-4.5383181,-5.2244581,-4.5143548,-4.1047564,-5.1825817,-4.3938302,-3.5652783,-5.3235064,-4.4337986,-5.0852317,-3.7964575
2000-01-04,-10.0970075,-5.494236,-4.9717002,-5.8042184,-4.8342441,-4.1427819,-4.4827914,-4.2871714,-4.0896703,-5.16083,-6.3484732,-6.0917808,-6.1954923,-3.7491225,-5.8553533,-5.1002894,-3.947613,-4.1725598,-4.0813718,-4.4888234,-6.1249224,-4.548651,-4.1727184,-5.4651027,-4.6447406,-3.7383607,-5.3295506,-4.5653451,-5.666257,-3.9898501
2000-01-05,-11.1497586,-5.7624729,-4.8571287,-5.685512,-6.5705473,-4.0343021,-4.5864519,-5.1524713,-4.5296619,-6.7845478,-7.2876183,-6.1663892,-6.4427847,-4.566735,-5.8512536,-4.8658155,-4.000449,-4.563122,-4.5727915,-5.1838186,-8.1735715,-5.1884952,-4.1929563,-5.6792242,-5.5678759,-3.6839711,-5.4995583,-4.8548374,-5.9922484,-4.0491139
2000-01-06,-9.9513134,-5.8118118,-5.7232424,-5.704783,-6.20893,-4.0299673,-4.7726222,-5.4303692,-4.4048519,-6.2251372,-7.0601611,-6.1998533,-6.2234852,-4.2131694,-5.6993346,-4.7477122,-3.9844566,-4.6233095,-4.8116137,-4.9032597,-8.4820017,-5.0519658,-4.2389666,-5.5783345,-5.4317387,-3.5525013,-5.3244826,-4.9381132,-5.8865365,-4.791416
2000-01-07,-11.2877852,-5.7305047,-5.5773559,-6.0891915,-6.0360126,-4.5121321,-4.8289605,-5.6988676,-4.327938,-7.0283435,-7.6289449,-6.0246525,-6.3600653,-4.4898857,-5.5884342,-4.1176038,-4.005893,-7.5978939,-4.5898045,-5.3971216,-5.4580993,-5.3896204,-4.7415246,-5.9719968,-5.443782,-3.6634652,-6.7155596,-4.955879,-5.6329854,-5.4244192
2000-01-10,-10.5321064,-5.6186847,-5.6186618,-6.156233,-7.0605702,-4.4957149,-4.8049698,-5.6012059,-4.624787,-7.7393566,-7.4596789,-5.7845888,-6.3554756,-5.0510748,-5.5039811,-5.7023371,-4.1226462,-7.0335333,-7.8138363,-5.0673526,-5.1930529,-6.9233559,-6.2128798,-6.0516656,-5.2915322,-4.5046172,-15.8898192,-4.6789138,-7.1253185,-5.2613346
2000-01-11,-9.5779607,-5.5067311,-5.5264835,-6.2273876,-7.1637558,-4.5901749,-4.8708784,-12.6125941,-4.4988609,-7.1224374,-8.1247035,-5.9731483,-6.4443516,-4.8925684,-5.4551843,-5.7479503,-3.9935345,-6.4285312,-7.2122506,-4.8133523,-5.5215633,-6.4167042,-6.0192608,-5.8717846,-5.194059,-4.5126775,-12.5907937,-4.6166969,-6.9379892,-5.1586533
2000-01-12,-9.739819,-5.3706347,-5.4652299,-6.1181715,-7.0884698,-4.5006372,-4.7483634,-11.8724143,-4.3726887,-6.8255755,-7.8447439,-5.7385198,-7.2660514,-4.353789,-5.4592567,-5.8452513,-4.060875,-6.0282711,-5.9579281,-5.0843861,-7.7229986,-5.7378502,-5.8797955,-5.8430422,-5.0943664,-4.3596471,-10.0178834,-4.5191189,-6.564491,-5.0031172
2000-01-13,-10.1746899,-5.2435993,-5.3441487,-6.0032813,-6.9896932,-4.3817944,-4.7171897,-12.3440963,-4.2532651,-6.3376687,-7.7263179,-5.5266188,-7.1883483,-4.0572195,-5.3210499,-5.6901817,-4.5560528,-5.5360104,-5.389717,-5.4680568,-6.6050274,-6.1114223,-5.7115274,-5.7985786,-5.701692,-4.1277161,-8.3167868,-4.7753634,-6.2598495,-4.8658213
2000-01-14,-12.4132526,-5.1110277,-5.2560127,-5.8603101,-6.7826426,-4.2821594,-4.575032,-11.8397779,-4.0746248,-6.0251673,-7.4301594,-5.3853018,-6.4058381,-3.7934658,-5.2320524,-5.5869108,-4.4425185,-5.1046496,-4.8311109,-5.2023184,-5.4470495,-6.8401174,-5.6240564,-5.6351305,-5.7324299,-4.183876,-7.9585408,-4.7077861,-5.8047461,-4.8574168
2000-01-18,-11.3305762,-5.1005477,-5.4940874,-5.7060058,-6.3721127,-4.1805275,-4.4551668,-11.4419582,-4.1865692,-5.5851406,-7.1815844,-5.2413251,-7.6399802,-3.6360982,-5.396078,-5.4349318,-4.3351126,-4.1679555,-4.6256515,-5.6632846,-6.0069586,-6.2759264,-5.5149004,-5.6095641,-5.7341161,-3.9773752,-6.3427382,-4.6155383,-5.4992055,-4.8231325
2000-01-19,-10.4381985,-5.6341351,-5.4561561,-5.9422609,-6.6782775,-4.2900959,-5.4432158,-9.2309377,-4.2248101,-5.5609639,-6.9633788,-5.4374456,-7.2512943,-4.0270638,-5.6972435,-6.2213754,-4.44355,-4.1165928,-5.0205455,-5.504803,-5.4661363,-5.9576783,-5.4228651,-5.5020332,-5.6515496,-4.6652477,-8.2712184,-5.0308775,-5.3359396,-4.7091866
2000-01-20,-9.6523251,-5.5839044,-6.0826618,-5.808711,-6.2655662,-4.231256,-5.2843535,-8.9337573,-4.1157842,-5.4367914,-6.8455649,-5.5218955,-7.2837694,-3.7254302,-6.0081114,-6.0461604,-4.4522686,-4.0331969,-4.7880049,-7.5221826,-7.1268172,-5.625493,-5.2510679,-5.5999477,-5.5474751,-4.4198324,-7.0976473,-4.9739224,-5.5733474,-4.5963045
