dates,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-8.795159083,-5.535959719,-5.971359461,-6.938504974,-5.628215499,-4.607353051,-5.866962455,-5.688268712,-4.356744159,-5.172532373,-7.458958759,-5.302469098,-8.367482701,-4.421321945,-5.851772549,-5.416854818,-4.998005648,-4.650677175,-5.060851718,-5.104407591,-6.339517585,-5.387191588,-4.867683226,-6.255297418,-5.410665597,-5.266842612,-6.653469786,-5.649154449,-6.567834111,-4.438059414
2000-01-04,-12.47277245,-6.689921403,-6.079108162,-7.219745808,-5.497506315,-4.915007902,-5.76284367,-5.688874502,-4.873935363,-6.327515893,-7.487290728,-7.260009898,-8.448001425,-4.399461067,-7.251036868,-5.731237849,-5.131295299,-4.799938156,-4.902278547,-4.959027711,-7.237571612,-5.390837157,-4.938659806,-6.749319356,-5.994817605,-5.369817134,-6.678936134,-5.841056849,-6.826602134,-4.727359446
2000-01-05,-14.50220342,-7.067666358,-5.989262978,-7.122133773,-7.382462565,-4.811528508,-5.847552301,-6.12818278,-5.610552316,-7.408503556,-9.421198902,-7.379433967,-8.525988124,-5.426998471,-7.232601006,-5.526335726,-5.144066541,-4.972802318,-5.415300406,-6.082943592,-9.637192544,-5.994825578,-4.978724329,-7.113109876,-8.166470596,-5.272457145,-6.769985423,-6.385677421,-7.141715082,-4.797998295
2000-01-06,-12.25988719,-7.141299495,-6.588179057,-7.107388766,-7.065053934,-4.805249493,-6.021586522,-6.279185691,-5.364611498,-7.200023046,-9.336847448,-7.393362096,-8.471100416,-5.135229532,-7.016406267,-5.361142281,-5.121586219,-5.019262235,-5.775805044,-5.709256095,-10.04448181,-5.892696656,-5.012597967,-6.948085091,-7.693351514,-5.078737814,-6.620029349,-6.537389854,-7.061836686,-5.814732512
2000-01-07,-14.6504422,-7.01979143,-6.527921268,-7.356010372,-6.976148239,-5.273436211,-6.071985044,-6.474672996,-5.221470642,-8.019958899,-9.538391255,-7.050820301,-8.457226594,-5.35081506,-6.856264867,-5.163820258,-5.089680987,-5.632081335,-5.496065861,-6.478394532,-6.876458017,-6.233565548,-5.520525742,-7.546457129,-7.604529696,-5.139342844,-7.777615175,-6.178995896,-6.825357674,-6.892870537
2000-01-10,-13.28032008,-6.859005797,-6.566951276,-7.405091266,-8.042747039,-5.261424004,-6.05761334,-6.428225543,-5.690245122,-8.880020098,-9.466716765,-6.668737172,-8.508248854,-6.044520929,-6.732293269,-6.484961622,-5.127242179,-5.675393468,-8.089279395,-6.03878449,-6.335820444,-7.746442985,-7.20177174,-7.694039435,-7.17188433,-5.816392994,-15.00287051,-5.881732215,-8.135035706,-6.520120165
2000-01-11,-11.46714489,-6.695344192,-6.486321034,-7.458575134,-8.166789245,-5.365601944,-6.12991088,-8.971588176,-5.443361967,-8.363964412,-9.635075566,-6.953279832,-8.608202857,-5.998879499,-6.662946872,-6.630415137,-5.055266231,-5.61645105,-7.758948862,-5.661698762,-6.681667119,-7.360350084,-6.933625721,-7.376929967,-6.867288972,-5.777822747,-12.16518852,-5.586845101,-7.919791654,-6.311306624
2000-01-12,-11.74315995,-6.514004768,-6.431123365,-7.397843856,-8.246797104,-5.277788427,-6.019780669,-8.771836145,-5.214126147,-8.233749666,-9.615900599,-6.606925467,-8.5888424,-5.469365808,-6.659780645,-6.754737816,-5.107097546,-5.586251469,-7.086687435,-6.034718266,-9.027352393,-7.080795438,-6.763526014,-7.323219744,-6.582277545,-5.629670202,-10.04091786,-5.371198119,-7.708173482,-6.027951365
2000-01-13,-12.47995372,-6.331804732,-6.325041574,-7.33143895,-8.18164101,-5.162762093,-5.99235115,-9.608529245,-5.003373125,-7.847037581,-9.643927479,-6.305833652,-8.543167258,-4.58221126,-6.457917043,-6.563835796,-5.326671855,-5.526757923,-6.659729552,-6.661198835,-7.919958086,-7.198048513,-6.575116761,-7.241901071,-7.956710546,-5.410936452,-8.626496378,-5.969000164,-7.540834122,-5.789556761
2000-01-14,-15.90467817,-6.158673153,-6.269412797,-7.246187731,-7.91987503,-5.07085033,-5.889466792,-9.573534841,-4.859571976,-7.551345548,-9.620305851,-6.121095199,-8.478381194,-4.278594374,-6.324681266,-6.431495501,-5.27184095,-5.47982439,-5.999428459,-6.301421547,-6.679746541,-7.913605656,-6.486662625,-6.972455096,-7.93319435,-5.464848946,-8.527453144,-5.748850065,-7.239855703,-5.770985791
2000-01-18,-13.98705592,-6.156942571,-6.422770827,-7.148767781,-7.572771614,-4.971152375,-5.774722909,-9.64823248,-4.904647078,-7.197984061,-9.601946436,-5.932161506,-8.578647319,-4.147164948,-6.545251962,-6.242648203,-5.201383734,-5.467732465,-5.35489497,-6.985653564,-7.227021603,-7.509143757,-6.380560375,-6.933794093,-7.832860452,-5.2578259,-7.685022132,-5.550252263,-6.982082883,-5.713840109
2000-01-19,-12.54945894,-6.924587873,-6.389995263,-7.278971956,-7.862734498,-5.067223302,-6.726149969,-9.669617504,-4.963605523,-7.14236166,-9.561450892,-6.285544073,-8.562750102,-4.8383723,-7.009108665,-7.191729283,-5.252813965,-5.495294438,-6.815318205,-6.832098267,-6.604390731,-7.23569479,-6.20660492,-6.756269865,-7.570774953,-5.770967978,-8.844267303,-6.437558144,-6.829290567,-5.522365029
2000-01-20,-11.3116686,-6.841107621,-6.823731855,-7.208189694,-7.478461973,-5.022190732,-6.590817207,-9.408776113,-4.779060988,-7.002092179,-9.569981682,-6.417666357,-8.504721145,-4.431865448,-7.436256567,-6.951375661,-5.252950285,-5.493566249,-6.607713797,-10.01260075,-8.385854506,-6.959920818,-6.111284366,-6.936889133,-7.275722702,-5.573614114,-7.954643415,-6.218064816,-6.789562252,-5.345271306
2000-01-21,-12.36776997,-6.712927405,-6.85995632,-7.41072484,-7.145360064,-4.92352944,-6.625847261,-9.410624709,-4.844458237,-6.859113428,-9.533375237,-6.170867701,-8.608224797,-4.235223018,-7.197478141,-6.748316203,-5.173698228,-5.639300373,-5.944178615,-8.794301057,-7.17750716,-6.791633517,-6.159837124,-6.835360235,-6.914895906,-5.389000687,-7.866911625,-5.89559965,-6.585482963,-5.396022556
2000-01-24,-10.98709857,-6.511846821,-6.784701933,-7.310995467,-7.090075618,-4.852360284,-6.685124086,-9.358644303,-4.761967434,-6.664175816,-9.511147103,-6.125016094,-8.592507566,-4.697392659,-7.062036997,-6.594305461,-5.36028646,-5.599576235,-5.579595239,-8.11648881,-6.767803244,-7.136836459,-8.290168529,-6.784927341,-7.816676548,-5.79212132,-9.00437599,-6.453340807,-6.441659806,-5.289191082
2000-01-25,-11.22958134,-6.31952597,-6.822755906,-7.490954847,-8.300832181,-4.740239565,-6.853042112,-9.234126581,-5.594288745,-6.938123866,-9.345174095,-5.926501214,-8.610258402,-8.404176333,-6.838009216,-6.685617939,-5.574895268,-5.666954671,-6.428367893,-7.705110381,-6.845056418,-6.967363584,-7.997024236,-6.591791513,-7.57789394,-5.783596072,-10.33273763,-6.13360435,-7.210240112,-5.147754218
2000-01-26,-11.73957195,-6.703116112,-6.879779105,-7.604150133,-8.113598061,-4.638117727,-7.022649079,-11.09433584,-5.359102911,-7.124021713,-9.183693457,-5.95942764,-8.559820352,-6.540055544,-6.773937988,-6.537655116,-5.507553141,-5.632772946,-6.266690023,-7.022086855,-6.70585995,-6.727539637,-8.632188804,-7.478576621,-8.493972936,-5.871149214,-8.764634849,-6.267036186,-7.17122148,-4.965194329
2000-01-27,-10.55418739,-6.52101328,-6.825087593,-7.612018044,-8.655921921,-4.590875919,-6.879496889,-10.9595403,-5.339976752,-6.987557555,-9.127961918,-5.993070701,-8.510249792,-5.650580325,-7.316974543,-6.921775853,-7.342030109,-6.095349452,-6.287651886,-7.340182022,-6.589482344,-6.419717162,-8.566567761,-7.200202998,-8.004968129,-6.092067726,-7.782935475,-6.10040142,-6.950034819,-4.837388288
2000-01-28,-9.593078651,-6.449609647,-6.814431521,-7.487860014,-8.222616447,-5.053041654,-6.813032501,-10.68105551,-5.126916136,-6.757067429,-7.667231984,-6.18936252,-8.438174636,-6.159105101,-7.276692767,-7.653528259,-7.667132015,-5.983326755,-6.195948375,-6.667956631,-8.612840225,-6.207791192,-8.587980996,-7.342037646,-7.886483844,-7.104239424,-7.558014823,-5.820340207,-7.452391954,-5.176400301
2000-01-31,-12.57663029,-6.576826264,-6.694010016,-7.464539156,-8.164636025,-5.114891852,-6.991166605,-10.40352619,-6.482793535,-7.410415216,-7.421540074,-6.127424272,-8.450667902,-7.391114479,-7.954516815,-7.925410462,-7.564157055,-6.331718085,-6.244156151,-6.128600708,-6.655586594,-6.125277474,-8.68542195,-8.074507613,-7.440324265,-7.012106332,-7.878017826,-5.584086875,-8.725042724,-5.36299257
2000-02-01,-11.19548402,-6.883962513,-6.569506821,-7.451626934,-8.7402765,-5.043316248,-6.912584854,-10.1601317,-6.181906849,-7.189838501,-7.215728373,-5.943188956,-8.41901658,-6.942523143,-8.511198041,-7.665409452,-7.229698848,-6.309783932,-6.269672747,-5.715722258,-7.373687567,-6.210901316,-8.398239923,-7.849644098,-10.60557864,-6.807385881,-7.361062701,-7.933215485,-8.38895764,-6.039049542
2000-02-02,-10.71439574,-6.885002432,-6.514052123,-7.383795681,-10.14876043,-4.940660182,-6.953508656,-9.921580889,-5.999395742,-9.598961388,-7.179478967,-5.973180794,-8.447505479,-6.55272392,-8.558525996,-7.437547978,-7.231130418,-6.18914323,-6.244367479,-7.270625687,-7.244474473,-6.140586612,-8.20215386,-7.590610982,-9.970641804,-6.911256531,-7.632015434,-7.895220414,-9.372824817,-5.84655976
2000-02-03,-9.855438799,-6.971006714,-6.481976137,-7.280236598,-10.00471956,-4.849435892,-7.243174678,-9.887175158,-5.872298913,-9.302420534,-9.152770834,-6.146627469,-8.547890916,-6.077726213,-8.388786615,-7.470119823,-7.317329696,-6.151133857,-6.06727508,-6.940813562,-6.794000006,-6.338481129,-7.978668931,-7.289915266,-9.376388458,-7.581701399,-7.697801881,-7.493180449,-8.963598257,-5.676063472
