Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-7.6814639719485065,-6.311282574443317,-4.608883704935247,-8.372511547547662,-5.898606371725988,-3.9248422098291993,-4.629969329841111,-5.030713177687309,-5.103697590691921,-5.700040950164407,-9.76143670180169,-6.920660213827464,-7.04476443883656,-4.2398270021487745,-6.011447527754177,-4.7989185814081115,-5.0765047656888855,-4.498258877358501,-4.321180169712657,-5.037029282995719,-8.321196987961896,-6.020641741078003,-4.439086677061217,-4.694846796833231,-5.540934587362644,-6.720222957716682,-8.386383421758875,-5.168653221223145,-6.151773804047797,-4.019381333520034
2000-01-04,-6.675362236190117,-6.235309033581579,-5.1163819494778675,-7.481652297788643,-5.538413919825223,-3.860050044384229,-4.71084037874837,-4.43009103195038,-3.8106963873474937,-5.848746624100076,-8.440719449022591,-7.2726644046587525,-9.029578519696575,-4.218179415770951,-5.742466251201487,-5.02600986112957,-5.535074977392147,-4.645726095395695,-4.940700461824846,-4.948507724518439,-8.468262257552858,-4.986639975941319,-4.81779920159987,-4.420678352045023,-5.342312046434171,-5.02098051728379,-7.328995825586861,-4.496637179773057,-6.733784268732421,-4.093928863716374
2000-01-05,-9.034536685778333,-6.373835838478562,-6.396369408848385,-6.827271000358487,-7.143846867438781,-4.411958272305817,-4.227351805928197,-4.868038114851514,-3.7015491395113966,-5.004107968741484,-8.739583806062257,-4.67732354782081,-7.668439499908232,-4.429778044947747,-6.111619746528845,-4.442785835940765,-4.002251850120209,-4.6637990027218335,-5.405845549626898,-5.019533722859691,-6.895322535933177,-6.9272476010999,-4.590751124759051,-4.680983283825457,-5.277508174087773,-5.398038352217564,-9.164488853693484,-4.7713298865434055,-5.534184163797712,-3.5805418279692516
2000-01-06,-8.917526354615063,-6.0757985060381,-6.228541554209137,-6.411507414691973,-6.851865524528,-4.36815847167435,-5.5644017809484,-5.65592042105802,-3.9300923523760734,-5.881622302371901,-7.7343862424577585,-6.473128512505605,-6.02036268808361,-4.4638717367164125,-5.00495805771747,-5.351043657838954,-5.278752130654264,-4.347360772397563,-5.032733102187666,-4.788744603628981,-7.101023579640402,-5.948338553889438,-3.4026141724145296,-5.014451699853429,-4.985136099217051,-4.81045388171519,-8.056192983572785,-4.992281518349176,-6.415073819103399,-4.7991482236407945
2000-01-07,-7.926721146095976,-6.580207131275527,-5.332901026215781,-5.486115391943158,-8.034759827595964,-4.582693285204723,-5.079702280951342,-5.327834346640162,-3.727474181106948,-5.2352008475291765,-6.844750149751376,-6.2925680457886575,-7.247132134918066,-3.8525358535321312,-6.465747165808118,-4.043319640999742,-5.228138942166077,-4.491638365317489,-4.514678424068519,-4.907522337862362,-7.624521105831247,-6.526081392103908,-3.973082620096833,-4.640998256010909,-5.071901077188343,-5.696478894028708,-7.940834473148194,-5.188846036828883,-5.447728134741112,-3.637806513743156
2000-01-10,-8.829463131375483,-5.945630774729374,-4.694754240165457,-7.265794817507319,-6.351465366244289,-4.014072700914774,-5.533088272545043,-5.541516170054611,-4.681039396519713,-6.271618679664616,-7.780975798118199,-6.158180744214843,-6.802758618154381,-5.019244104942092,-6.194829763374597,-4.880420197699353,-4.613412395846755,-4.3991917776617235,-4.340011599118167,-5.235209965526839,-7.0902562979010515,-8.369241224503014,-4.741315920050952,-5.941838199363292,-4.960324253967417,-5.34733411840658,-8.490647046141186,-5.212342420299175,-5.241234672758591,-4.431650640979866
2000-01-11,-9.404611813373492,-6.27683019166133,-7.092406164058022,-6.9072566437209435,-6.187413255370041,-4.238156686636236,-5.092527982046427,-5.803847197924108,-4.231598252291418,-4.074208227573577,-7.510315017930111,-5.403652549512432,-8.744017947109429,-4.094813264260195,-5.462733480019607,-4.573715708273687,-4.762310878548973,-4.76873548809827,-4.973710909926675,-6.530822201885826,-8.90228038825785,-6.813640661495137,-4.976425601638087,-5.451966075469038,-5.967248260633533,-6.150719330828956,-7.907216322029187,-5.604002083982871,-6.8466985257126725,-4.296800245719843
2000-01-12,-8.785642494052116,-5.012362696903858,-6.143557062523539,-6.317016976545867,-6.050483999095003,-3.9090888971355904,-4.921110403909715,-5.689705897632095,-4.3857261940394565,-5.166405172640546,-9.046693459332557,-6.369572856753528,-7.166801399086026,-4.305673441236856,-8.388895757888674,-5.360390899544302,-4.631902736057591,-4.7371133108257775,-6.226903056503255,-5.467370433301335,-6.326888972237233,-6.8860217610335015,-4.729719224749655,-4.969077989113199,-6.514225377014444,-5.136959519560077,-8.659815314503822,-6.511778326844071,-5.886473735783773,-4.461917379465986
2000-01-13,-7.2866024330459975,-5.518296020808826,-5.569763987473869,-7.264855403480663,-6.0834264613773925,-4.326776484974398,-5.0730646392385985,-6.152615006504832,-4.792996868661753,-5.585483155834526,-7.679496087561655,-6.585864681947336,-7.402054959727448,-3.364075835879915,-6.88963134277371,-4.690457740877562,-5.651520154739002,-4.515382939022403,-4.961478999606015,-6.245267142612179,-6.714280900021586,-6.387856810851177,-4.477139855392198,-6.107367274437511,-5.563411701597345,-5.870741424747825,-7.361978283634502,-5.380549350714819,-6.8585588539247855,-4.0430443364508735
2000-01-14,-8.418031527116836,-5.399318341797104,-4.983554640157388,-7.061480355575424,-6.339704062845804,-5.114785395536481,-4.862439757748775,-5.428503766193695,-4.957248459090551,-4.75833506884508,-7.817119353160587,-6.146676484911394,-8.229214855969134,-4.349613027519673,-7.357620424789188,-5.25373970398253,-4.217812816056352,-4.35686217299408,-4.909157089771385,-5.783531414366507,-6.813476918522186,-6.089749641749508,-3.9300757515460316,-4.603397892831741,-6.713485900388574,-5.913114161942587,-9.419027107512084,-4.529028136312591,-6.526243948876909,-3.8550821569002935
