Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-8.242513786050123,-5.5024841651425165,-4.956958656473581,-6.283833078684764,-5.801090280814869,-4.1305931717024125,-4.614970845639154,-5.300638145034906,-3.9942081639484472,-4.822991323899509,-7.152733100774518,-6.090819693465876,-6.818822572638048,-4.0452387771568015,-5.787960236830503,-4.669706429434599,-4.49810699931242,-4.137521136110288,-4.635198501740552,-5.3374338962489425,-6.832931561139019,-5.778546907525469,-4.075142131790312,-4.7623801307857425,-5.311273016550626,-5.5320650292823235,-7.732319558345921,-5.082428329824811,-5.418712649069861,-3.920126787013582
2000-01-04,-8.256329033711308,-5.575792313922433,-4.988588593418731,-6.287842842894018,-5.798111747803339,-4.167274382617196,-4.617476846488842,-5.303224492552992,-4.034006126836362,-4.911623531407022,-7.154595005441668,-6.1499809568815,-6.825919257801134,-4.054812128333925,-5.889661284159798,-4.701722889870986,-4.512777209529817,-4.154890223665795,-4.632230848062295,-5.333273648409825,-6.811623544119127,-5.7904698120173945,-4.0987092376732805,-4.815356510134669,-5.348854694129629,-5.550055024784456,-7.72282418779338,-5.109934914543602,-5.459792178120199,-3.928287159727844
2000-01-05,-8.362962789284344,-5.6241106119587645,-4.9853364191444385,-6.2980766444412986,-5.879492463138711,-4.16881470592304,-4.639984836912196,-5.343224455987649,-4.08096213705325,-4.986474658594697,-7.283923193245355,-6.187589754793948,-6.881321528576681,-4.1004554825194885,-5.900485526464727,-4.69399045837431,-4.5316677971116235,-4.190428578415821,-4.670431372751852,-5.369634409180812,-6.873665889628974,-5.822730730687123,-4.099218429145623,-4.864753051017102,-5.434047018232933,-5.545782738982443,-7.719338618293245,-5.146873365265642,-5.507730633943146,-3.945663419595095
2000-01-06,-8.358577892893889,-5.646950330067371,-5.037678273134099,-6.285130723994619,-5.880592948580645,-4.170167968689238,-4.624223616209028,-5.357585515088279,-4.078512428298824,-4.98210240314078,-7.288392131004909,-6.184231545736441,-6.880098279551155,-4.099288223388981,-5.88789241841075,-4.674717057721235,-4.518293279452977,-4.200182608831738,-4.692173578125645,-5.364646593581203,-6.9014702855257966,-5.808572429811417,-4.099876851080141,-4.873203087224138,-5.424141133726352,-5.551436306085794,-7.6867766025684,-5.158024501919857,-5.520874211402635,-3.9967854456626912
2000-01-07,-8.507792183331977,-5.632555052232081,-5.019134742891732,-6.297679076578213,-5.8781400880235095,-4.198815830443914,-4.628025132668808,-5.310212624949146,-4.045935838294825,-5.024750953124487,-7.370717508791289,-6.199332220421532,-6.906445266116794,-4.058498932520298,-5.888114928508525,-4.643977691576158,-4.489343863008319,-4.314626899782359,-4.673017820841171,-5.390734496160234,-6.906679981246649,-5.779091511932019,-4.110646009536806,-4.882532195290544,-5.389951176356132,-5.529046170358238,-7.692914182915063,-5.1339609350663284,-5.497674092229505,-3.977782933258595
2000-01-10,-8.514400587930432,-5.587007067845461,-4.990403078680429,-6.24793598940758,-5.8007345014064855,-4.173258257574449,-4.593053542394075,-5.232337243766853,-4.045260702990791,-5.009909067687847,-7.353035747324619,-6.183345569113452,-6.887775453469458,-4.0831687950414715,-5.856091804844545,-4.708959061479484,-4.4540296727980255,-4.307872041237297,-4.814398402939964,-5.344565336864242,-6.836590486365889,-5.798792785659005,-4.2276001806873476,-4.894202226380985,-5.366058273447865,-5.490685963483157,-7.798057340172269,-5.119118540619493,-5.551726643526202,-3.974888099936309
2000-01-11,-8.529712346428848,-5.541779041825166,-4.993478733563576,-6.212939394630403,-5.7841735942197765,-4.197890783487643,-4.592347168973542,-5.515973349165526,-4.035633504709356,-5.010514978975437,-7.3908482999778835,-6.1935870354979,-6.9007169082240845,-4.062140387172522,-5.83851367948093,-4.743828228915123,-4.449827269910178,-4.269493535519166,-4.844071150812814,-5.34499620957843,-6.834600273294149,-5.796786661745363,-4.227516758486728,-4.890443592999147,-5.366583513034309,-5.4824867266250825,-7.7544118690477575,-5.120901053792346,-5.568206209309736,-3.9844660276166217
2000-01-12,-8.364606938328798,-5.511604365325318,-5.006139688617721,-6.199165681690088,-5.818711704751809,-4.188389483324609,-4.5850735827239895,-5.513186561625174,-4.0367464403023,-5.03970658017238,-7.3952606723546594,-6.16732019417816,-6.873015437868728,-4.062096548876868,-5.796013819914229,-4.730657623757629,-4.444602770273767,-4.220688248609209,-4.828551414962528,-5.359483859919398,-6.838675505470633,-5.779701704940889,-4.185062817088768,-4.893814472137355,-5.37579676614318,-5.486473786023897,-7.750540602625964,-5.109097730764881,-5.572120396247593,-3.9756538175114975
2000-01-13,-8.440884612480053,-5.4194747202397355,-5.006420848891902,-6.199140563947207,-5.8194781787425525,-4.191057518374528,-4.586693944058488,-5.645912160457829,-4.017782937572958,-5.044455149472476,-7.398416328306906,-6.16649169303692,-6.873107250979087,-4.063381918611089,-5.782756280632311,-4.727548877773673,-4.46864128082618,-4.207537596595083,-4.829839614172784,-5.362451101030349,-6.856179492031642,-5.786815233816416,-4.189757964165698,-4.8973442499386035,-5.446086878867159,-5.485780388948739,-7.735984791275432,-5.139124921582078,-5.588640773164327,-3.978070021559296
2000-01-14,-8.517720751137741,-5.372133161560508,-5.014546149492706,-6.161256822416973,-5.803707174000219,-4.191000766294953,-4.579851596027931,-5.655550610506939,-4.0177204571111345,-5.045024481263937,-7.387659001756293,-6.16369273690542,-6.873600770801012,-4.065582589572574,-5.756475677283334,-4.732190821866368,-4.47326809215589,-4.180973856954184,-4.829850226313173,-5.349118275457541,-6.841372501003748,-5.817033601284099,-4.204015384447935,-4.891671668364146,-5.426901935753139,-5.472181281993016,-7.717595595489664,-5.021749026568622,-5.587823828156606,-3.9821122215247704
2000-01-18,-8.512154838865287,-5.373994199731159,-5.026293937464024,-6.152055169173252,-5.798952695780629,-4.190572678558901,-4.542451387011133,-5.686436034478124,-4.026922703200119,-5.039889874517229,-7.388675160209673,-6.163694737606681,-7.04826812134569,-4.066164415839806,-5.755514034069733,-4.723640031935915,-4.455855372702252,-4.133033266017483,-4.836543912309183,-5.344666361702006,-6.840698532956496,-5.810105278237714,-4.184685233317516,-4.907527101296965,-5.429510814564933,-5.426947569107475,-7.7101694785419905,-5.016864491322151,-5.595116964159517,-4.0010350869565
2000-01-19,-8.464155069143438,-5.4500890078617745,-5.001228765829713,-6.191532292847492,-5.745674220456172,-4.18778647165105,-4.6563109350228284,-5.642221525076685,-4.038948050986283,-5.054793612466647,-7.368762254813415,-6.199081256269346,-7.019534547914133,-4.08508305794583,-5.781831975784337,-4.755083432251817,-4.473300286992347,-4.137077595765032,-4.887670754913178,-5.32021947694181,-6.844978478812808,-5.7947014230134535,-4.183903457694467,-4.921509917164155,-5.427479766995569,-5.471548888827604,-7.709404115971611,-5.039991199272968,-5.581161337722156,-4.000290214356889
2000-01-20,-8.458510722155252,-5.415008959864031,-5.035102908386633,-6.183006565555337,-5.748060091813725,-4.201754393646686,-4.662094327373117,-5.632099088121103,-4.024660498389615,-5.044352141067368,-7.360914382855362,-6.016914310786283,-7.000357088832928,-4.066397135411992,-5.73815496007296,-4.74636216957883,-4.469316678854601,-4.120636843260177,-4.806696318188421,-5.454521311426118,-6.8285430110298595,-5.789521474177466,-4.183477491927664,-4.96125204083654,-5.43070336741473,-5.464459893796496,-7.689949074853951,-5.057401848937269,-5.594370624949067,-3.999741400832291
2000-01-21,-8.480282477263213,-5.409061262881429,-5.038874273417572,-6.2397344273685045,-5.7502237904541085,-4.203761481026151,-4.690772378537527,-5.664739301641533,-4.037617390384029,-5.053148853790916,-7.3629645870537495,-6.0217952039473674,-7.055034785390614,-4.066338628967195,-5.7294429547452275,-4.732960185814436,-4.4671644912274315,-4.129520056055274,-4.800405196310579,-5.451863605765258,-6.85065492719906,-5.8028416528286275,-4.190916150466099,-4.983839596970331,-5.379107068512593,-5.466530019556726,-7.67610032318771,-4.903369811072592,-5.601582080604225,-4.024191610600702
2000-01-24,-8.499086077269755,-5.409289790385565,-5.024016389387257,-6.240451798724672,-5.744682928084779,-4.199862570163211,-4.722951306378316,-5.68193718698597,-4.048935961799806,-5.065908392674745,-7.388188231825726,-6.022091755336655,-7.040476221915787,-4.052314055955634,-5.738840358805032,-4.728683664721322,-4.491780778892132,-4.132415066554395,-4.774909667988319,-5.429473072118875,-6.859424904445613,-5.8423748608249175,-4.436270973889247,-4.9870518748062045,-5.405699255412572,-5.501940612465543,-7.67299444834507,-4.918843686439002,-5.614699088031273,-4.025047336106774
