Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-8.444001239820967,-5.536352629656669,-4.875521278435589,-6.2283041104188355,-5.95304191313669,-4.099636043685132,-4.740462826701768,-5.127946841797695,-4.032628320161439,-5.166228834047001,-7.163856479663787,-5.9730903915881415,-6.789300891682596,-3.9700955298385985,-5.6454437532699595,-4.467988506670627,-4.438163824640056,-4.20746174331282,-4.480572712281977,-5.372491072814766,-6.715254838051623,-5.526256458222316,-4.02073056756328,-4.741242613101991,-5.271544187554969,-5.362777388663108,-7.5523809092507515,-4.97164831443946,-5.567979565182371,-3.84529971900344
2000-01-04,-9.686363044324958,-6.407589235807095,-5.181448986196702,-6.375016709038308,-5.942112938949585,-4.513549977688694,-4.6387033163593685,-5.267734649165611,-4.423037025093155,-5.8094644427418904,-7.356563431088192,-7.323687833170727,-7.4355581454445465,-4.020737325142284,-6.768899326558126,-4.846147931777084,-4.490679820829975,-4.594694335079372,-4.456925620891902,-5.339370529752282,-6.850664005428447,-5.595635198220107,-4.21951372945734,-5.213312020337783,-5.5387493818856415,-5.477440512151238,-7.5608664059798665,-5.209492765954916,-5.812810359953133,-4.152570937280941
2000-01-05,-9.808764854576859,-6.009478898840115,-4.8783647679556115,-6.143102709471866,-6.810478722910723,-4.040658160089873,-4.8959098626714495,-6.110953458900007,-4.702476382079029,-5.887427397612061,-8.492932872218654,-6.374131267623409,-7.296401082388466,-4.530378376470191,-5.905167380023041,-4.471047149396834,-4.54825960521815,-4.729922448214129,-4.910737069885069,-5.708784623159835,-7.411353749262258,-5.936368374522237,-4.180120931198392,-5.311581941922367,-6.214173777374707,-5.401268035899002,-7.565331181062132,-5.342558692869263,-5.9180435887497405,-3.991185417890335
2000-01-06,-8.469377358082825,-5.805877623678734,-6.031756599361656,-6.220823603970703,-5.9542117691449,-4.173401140373866,-4.960238235173699,-5.691832211992004,-4.087101136420456,-5.147093836491075,-7.226546465665944,-6.388901243506034,-6.785473604104248,-4.048031347050393,-5.692552195872399,-4.491658383194801,-4.466485958160058,-4.45371900896324,-5.007199745607716,-5.396484523218146,-7.447763936047269,-5.6040968910197,-4.177241692074646,-4.869538608744068,-5.236261830723241,-5.3658890361279274,-7.512523641701242,-5.3605923386335945,-5.6360801680197605,-4.942197551692594
2000-01-07,-9.96893544255172,-5.712157190123271,-4.979362160673022,-6.719929215651909,-6.026041539453623,-4.731681052705602,-4.883442045712674,-5.607511818002459,-4.1395521917952145,-5.766696098098283,-8.187946572358193,-6.162922104597798,-7.561411287513671,-4.360713895465285,-5.739945601935554,-4.445720989981606,-4.428279787333586,-6.143876607451297,-4.517611308633164,-5.721082042965906,-6.732261627550093,-5.884903553061168,-4.809457532355664,-5.463702009340756,-5.3580483533460805,-5.453715700877976,-7.799180893736413,-5.049839770448525,-5.537417545640487,-4.86443020794573
2000-01-10,-8.950528048786067,-5.6317532110859325,-5.202519007596715,-6.348017941916176,-6.756974570501849,-4.202638471570704,-4.775890790623347,-5.077413020123635,-4.628898734289321,-6.016566441231593,-7.453313353720683,-6.079351746543518,-7.1342407088212365,-4.679276450652772,-5.76584131607934,-5.810669366338231,-4.575472833214359,-4.428747799828043,-7.007725966255317,-5.40691450741105,-6.679094543612261,-6.71815570617942,-6.074469710568137,-5.284992570019281,-5.149084316818713,-5.783626608180558,-9.94622938590489,-5.015888295465968,-6.962206012322834,-3.928246865887495
2000-01-11,-8.61752072392753,-5.602758192722282,-5.008011329584779,-6.342786784879723,-6.283912885900609,-4.386533422513613,-4.834587036728995,-9.699172967187335,-4.08678891399263,-5.0836087310123625,-8.267953567489133,-6.488300648690344,-7.235511644104599,-4.272432237443828,-5.745489433228494,-4.919300320845539,-4.337940301417467,-4.267396164111059,-4.986023083282626,-5.370862358960261,-6.751566967331011,-5.573938046269008,-4.214689280671654,-4.832763309267006,-5.19068608502191,-5.434700701511613,-7.714143567567924,-4.998492226936497,-5.694579276702654,-4.010934811616225
2000-01-12,-8.938463166154806,-5.557080724165967,-5.063614093352697,-6.109563624621172,-6.199757032199822,-4.128285295108783,-4.634502842054296,-5.379975174885436,-4.08752121009965,-5.299770106402099,-7.4529040084239,-6.105383561199218,-7.24423090984437,-4.016392269604529,-5.790445463295147,-4.951169259595893,-4.534170853155691,-4.333887788580563,-4.6888656729855445,-5.564489111886084,-7.267276878400362,-5.6097113866772546,-4.2754851846205035,-4.986201901552195,-5.194122401324231,-5.372340883582313,-7.649782796717931,-5.010866592730576,-5.6639660959202125,-3.9303055024711657
2000-01-13,-9.177075931589645,-5.416379664545638,-4.95536612135435,-6.120094323032869,-6.095575638185656,-4.099616460199993,-4.734319072541311,-6.865491662233918,-4.059213701571417,-5.110631145592341,-7.612315229354074,-6.082783002998489,-6.850631610481745,-4.035131629256637,-5.614452294909628,-4.607929152168171,-4.977444219465377,-4.198480577460132,-4.817203828301194,-5.657182380483741,-7.011517202709147,-5.874059852916165,-4.1945261311092565,-4.979569586290559,-6.009210268579341,-5.335323599489076,-7.627728555254947,-5.370889852654283,-5.700392732479608,-3.93416820176892
2000-01-14,-10.440138960816425,-5.3872217487203296,-5.037826445859199,-6.054604439003459,-6.034305114320975,-4.129946070918517,-4.604307946288685,-5.77660173339179,-4.10872296703016,-5.186748494755229,-7.352694850256244,-6.085828393029998,-6.768968163093008,-4.000294861584526,-5.6301643300696345,-4.649013125529733,-4.4019518162652975,-4.179882070979305,-4.693355201938237,-5.418718790973074,-6.760035207488156,-6.3562339194191635,-4.30040784625009,-4.850171346211482,-5.301254577395348,-5.461362121356915,-7.812984900448998,-4.87348929150412,-5.606592310058499,-4.143804971627402
2000-01-18,-8.864542913060356,-5.530134247877767,-5.413165151464275,-6.0248475180823355,-5.941726607658114,-4.111873973147851,-4.599792366379756,-5.868413632852628,-4.190770841674822,-5.0766197039460765,-7.339101992177129,-6.091955687244128,-9.929604713289898,-4.003255637465666,-5.91601179603014,-4.588921343013517,-4.3738671576376245,-4.223612575553308,-4.711926172537155,-5.783239062220723,-6.891359305831667,-5.603882697730584,-4.29611600258768,-4.9734042033054635,-5.389390557724932,-5.306942556222851,-7.610027419715853,-4.915677260008015,-5.635603718530618,-4.103783329474524
2000-01-19,-8.807339287377873,-6.165087036231942,-5.127265944964131,-6.44527724004176,-6.313620663931977,-4.371337925594359,-5.946014956617701,-5.690472412286523,-4.228189927006271,-5.256463847744108,-7.350433430876734,-6.356104385294899,-6.990029067657777,-4.270414804743142,-6.023350356838763,-5.841977792881711,-4.619163374505786,-4.314907615232399,-5.396591150955746,-5.521378049586379,-6.7770321324790155,-5.647608686179306,-4.173480146664213,-4.903319939874697,-5.272568495839215,-5.745271586329733,-8.003346684398185,-5.453104704060501,-5.68410547556148,-4.003938344460417
2000-01-20,-8.709893631176252,-5.501232817239536,-5.958603851300448,-6.081898139780732,-5.878182491587261,-4.204444961479448,-4.700548052652777,-5.483020082246479,-4.073666587558616,-5.2457572284654646,-7.433799814239498,-6.215567958247866,-7.054239746154862,-4.00720850245193,-6.091662955680586,-4.633850542096835,-4.534092216770899,-4.2368602288013735,-4.703601695785858,-6.8882351732911875,-7.131430500502436,-5.650341583141218,-4.242917285860663,-5.194235573359788,-5.195499017739103,-5.333042960868054,-7.587972278220501,-5.018676374155358,-5.750309001121594,-3.9854640358068525
