Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-9.969659257263007,-5.247675885276257,-5.572075807034592,-7.601729902812097,-5.78481731290809,-4.338391355435915,-6.1755321538777395,-5.434369106687908,-4.661855311235746,-6.4170158059810944,-8.768089065166569,-7.088236654185491,-6.652444171116298,-4.630678138691351,-8.122601309255518,-5.606854990077804,-7.550122566450089,-4.245974416246636,-4.753887429035214,-6.921937056685622,-9.523507956788665,-6.317225713295144,-4.427267355885579,-7.246688364129237,-6.492815259820229,-7.4336823884540255,-9.165371546875962,-6.24020308623735,-6.286821227369276,-4.685522720077838
2000-01-04,-11.492863121260623,-7.417077016609759,-4.89863513629876,-7.272746964302395,-5.6051923132804955,-4.392468713896772,-4.817342244133668,-5.205377790585626,-4.251672751661543,-5.5360209875667445,-10.374516054684669,-8.55486893297212,-9.458129372589777,-5.577319262876448,-7.909918922359215,-4.94618943386866,-4.572067316051559,-4.058903239276067,-4.999203247581502,-6.2983034017025465,-9.8887614337601,-7.36192773528912,-4.806430510361773,-6.697875587516151,-6.249046456932254,-7.091292925670227,-8.407772059470886,-5.488010162894486,-5.655520258272476,-4.24736737824042
2000-01-05,-11.794987113039891,-7.146204139569167,-5.878077147197373,-6.865176079613786,-6.57236087655415,-5.137843343479443,-6.444150714070736,-6.141673296372776,-4.28005240412446,-6.26382673069351,-10.212628308308293,-7.703291719313741,-8.696684159145297,-4.842160089775143,-8.034028637019134,-5.734665501843761,-5.706190714210758,-5.017368839629128,-6.320203746440573,-8.447830569815363,-9.730296346860289,-8.572931709083198,-4.689954065116959,-5.1064223027696976,-7.539162231251469,-5.419956651712516,-11.68069952594885,-5.760966756080884,-6.674246089278093,-5.1067532346887825
2000-01-06,-12.596223777049975,-6.315299501369407,-5.629426639935987,-8.390822976088684,-6.079755041284508,-6.125457539802352,-6.009769149339722,-5.719442799866839,-4.153720770919274,-5.795814472814983,-9.691223358389887,-8.504711583765927,-6.772277747673585,-4.650590293362564,-8.100190414092507,-6.085742808250168,-5.11144286183206,-4.990338489676924,-5.493837869623427,-6.127492841506796,-7.472684508697012,-6.845346984274021,-6.030078121799165,-6.867539902344082,-6.428411059449911,-6.141664917395936,-9.440444108787608,-5.939856835669654,-6.82651338850766,-5.085340686486011
2000-01-07,-13.31797612759331,-5.4237413176722304,-5.205044399093198,-7.785120895298084,-6.378788139910051,-6.360428670037031,-5.5862944818599685,-6.0956292090301885,-4.206593832372854,-5.573955895862117,-9.16608484066557,-6.23919664612911,-8.926927156481028,-5.1417020447574036,-7.443516044046867,-5.713142398350881,-7.003066891911237,-6.226992274319291,-5.919322607665726,-5.9891642724755725,-7.357955589393972,-6.833721965154517,-5.863807130400727,-7.473286475499162,-5.263010005510982,-7.2729430469396625,-7.9581202253573045,-6.559058760966788,-7.470018520076136,-4.270204286245288
2000-01-10,-11.353218068122471,-7.3681714257326565,-5.484380996070296,-8.608964168609115,-7.125962246150124,-4.192610205712554,-5.583843415307545,-7.62491636959615,-5.041711035495953,-6.084216121141765,-9.880839313240642,-7.050492663331194,-8.736844799676332,-4.448969036852644,-6.090397911650321,-6.915652112946642,-6.058406572996868,-4.405206631126428,-6.392305767899016,-6.302729749764392,-8.348989719318043,-7.153695207444973,-4.5833353504872285,-5.9038675564738705,-8.554114247414352,-6.693206100655255,-8.33357600368034,-6.87042410855344,-6.077763791259086,-3.54955842231617
2000-01-11,-11.253749463671804,-6.494306546662316,-5.90263478767667,-7.651651714204391,-5.98907961722224,-4.614491254620385,-5.437539584545426,-7.185725150550197,-4.64886214116857,-6.133076565626461,-8.764922624660553,-7.247554334889551,-6.887418296812524,-4.414463134783633,-8.0471098527451,-6.072301566126427,-4.5261084576810795,-4.853065073068094,-6.085443831526532,-6.174108398841087,-7.912025520964864,-7.435660251584706,-5.008995531102345,-5.866271696220279,-6.539772791501769,-6.980281622514075,-9.166122841763283,-7.0173290501559435,-8.080260367288528,-5.351201006326253
2000-01-12,-9.696563710573491,-6.985441261345285,-6.632804597019306,-8.921466885520935,-7.272701365652615,-5.03819968233962,-4.626945921834461,-8.712561182579963,-5.54585226933038,-6.420605785036698,-9.221379746055163,-10.593649032490934,-6.995780155709884,-4.667563480081749,-7.9711921172386555,-5.534449243362123,-6.299916832953884,-5.786244613934192,-5.231433501823788,-4.805685690019727,-8.168554378132034,-7.529360568325794,-6.036607672555513,-6.636070018869009,-6.069020835918159,-5.33520261652208,-9.373012361629527,-5.885478978996456,-6.2198955649448795,-5.365618448975276
2000-01-13,-11.425808762758406,-5.829692404019464,-7.423556561639481,-10.534188534446729,-5.518213064040149,-4.4990344429639855,-5.5503022955811865,-7.3656726006922035,-4.883998697095293,-6.349186933829164,-10.86926928076571,-8.056118715124876,-12.137937684388971,-4.042603784487603,-6.948328042403405,-7.310345645715537,-4.427582237125474,-4.59249066775329,-7.578421300896695,-5.72815132892555,-7.638277250249932,-6.953638848464274,-5.09606951393167,-6.843436331988934,-8.0521971473885,-5.414422892912551,-9.975929708258052,-6.273187928383182,-5.822926564361101,-5.467129240647125
2000-01-14,-11.60999942989395,-7.656818044953208,-7.212253110460698,-7.51792247734027,-6.064084351723965,-4.563245653936751,-6.261157523752582,-7.709473955211058,-5.6236793513925125,-7.656018383372795,-9.462937250252576,-6.069349176881225,-8.597137956535445,-6.103427187729356,-6.28673910996609,-6.297816443923859,-6.092114803195784,-5.228832090291254,-7.079449570975041,-4.9661692064825,-9.504618352551802,-7.674345152515695,-5.3408976632530365,-4.9292599227543965,-6.412319044834188,-5.114736220854051,-12.04680554044805,-5.410294177046188,-7.134684470573577,-3.968793059986909
