Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-10.772641811873818,-6.293788978552957,-6.250173743656585,-8.605473739852187,-5.867499421811438,-4.418314112673078,-5.126501832730313,-7.03139213257668,-5.04896481333157,-5.769368649518046,-7.218092142830241,-4.83988119253508,-6.893867870170596,-4.285868529496396,-6.631512699309561,-5.619550647539687,-4.236366361352567,-5.049760870590702,-5.5932338111199496,-5.2827137156627755,-8.179358720841256,-7.246667545280442,-5.438260932623371,-5.411718979464769,-5.488779960107133,-5.201337361303527,-10.301370635668885,-6.0243332780494585,-5.8736906338653405,-4.09950995862431
2000-01-04,-10.777104819942382,-6.297737456594855,-6.2539038488525955,-8.614499076226258,-5.866344486311431,-4.297496899429651,-5.129451416518323,-7.036571853070378,-5.051996225577999,-5.985660612562851,-7.219964679888569,-4.839865444873091,-6.997565997942034,-4.28732514641459,-6.637678636804904,-5.622033137474624,-4.23721969606029,-5.075143448179748,-5.595816497142289,-5.283896220128001,-8.194632861063772,-7.252676623456992,-5.441397649548976,-5.415784246493961,-5.4901911612359084,-4.814170190257262,-10.314786081089823,-6.024808037608289,-5.995843429369783,-4.10118029576713
2000-01-05,-10.78157968850048,-6.301642772607905,-6.257637187942215,-8.62010189003217,-5.86518899288316,-4.230384796151495,-5.132401536902318,-7.041766807952239,-5.05503753824797,-5.9891200493545105,-7.860144362856169,-4.839767465029842,-7.000846681466151,-4.28878859791661,-6.643871243400231,-5.624518035720694,-4.238075763145347,-5.076747550628454,-5.598402571362345,-5.285077627153971,-8.210014277631394,-7.258702477155032,-5.4445466956742194,-5.419863378272831,-5.874730659533607,-4.816808566683631,-10.321267634779998,-5.556562287758361,-6.011722099766429,-4.102855460923671
2000-01-06,-10.805743417224118,-6.296535383296513,-6.2611018071031355,-8.627829440004463,-5.864109852513816,-4.152476875256347,-5.135361601845335,-7.046977076514263,-5.058089178581599,-5.992590441490942,-7.862262046048221,-4.839668154458993,-7.000306368503531,-4.072565851912403,-6.650093165334729,-5.627471934381599,-4.238984186880799,-5.078356357502915,-5.600997451953813,-5.286179036107197,-8.225498935939976,-7.264502985233983,-5.447699976865232,-5.423951789723996,-5.860127103129086,-4.819454509742382,-10.33225193361126,-5.415267934960105,-6.013972203142741,-4.103108106856848
2000-01-07,-10.810284470065401,-6.299354044017276,-6.2648633582245745,-8.007641624194799,-5.862950027768255,-4.1534920720299935,-5.138330925529957,-7.052202760220944,-5.0611514741646815,-5.9960748130987405,-7.864384864031108,-4.8395593250360065,-7.005771120250189,-3.9908690897218015,-6.656343962652959,-5.629505593333264,-4.2398911528718966,-5.0783741643560205,-5.589515931662946,-5.287370525300159,-8.241088191735747,-7.2576280327712634,-5.450861998109242,-5.341656161591789,-5.862163317354745,-4.775884134549805,-10.106809580767628,-5.4182772926690905,-6.016227475964761,-4.10335754447544
2000-01-10,-10.81517820261868,-6.302656495823576,-6.267618244889138,-7.593763708677688,-5.861945703934569,-4.236414727189562,-5.141300874678818,-7.056545105185323,-5.064224291403467,-5.999505574779019,-7.866510956079119,-4.839442533535716,-7.0089996850169864,-4.026158760447071,-6.662616814664635,-5.629543013269863,-4.240796073296417,-5.079985915937049,-5.590138950508632,-5.288557481415908,-8.256784493175411,-7.263645306685939,-5.451431912567979,-5.345317076256998,-5.864172189650308,-4.777822061869153,-10.109426662678102,-5.421295255598236,-6.016621692090275,-4.105046182665343
2000-01-11,-10.820132159738796,-6.3040700403045316,-6.271551991237321,-7.600633201638857,-5.860776428986908,-4.192745664476376,-5.144286231255487,-7.059061553158543,-5.067305274012541,-6.003018164311756,-7.868641430874925,-4.8393333500229,-7.0116764329015195,-3.910759292154414,-6.668927446452793,-5.632046860952917,-4.241708651175984,-5.0816038570011575,-5.592675037401736,-5.289754772075443,-8.272583161613078,-7.266685554130736,-5.454600930503954,-5.3479194499579705,-5.86552380315908,-4.779762425082461,-10.116702684607896,-5.4243210491950204,-6.018886202701298,-4.106728312617869
2000-01-12,-10.824952720710707,-6.311226558794856,-6.274606445768194,-7.6075238745349605,-5.859607525450762,-4.158746378715192,-5.147272418868806,-7.061745505951362,-5.070399464846946,-6.006149334304355,-7.870777498483452,-4.839214780740894,-6.904644034248511,-3.912254369582237,-6.67526050552607,-5.634554201889746,-4.242621186746128,-5.083222983520185,-5.595220690938414,-5.290952983451721,-7.786233630283294,-7.273169163678477,-5.457785319121034,-5.351596880457721,-5.86984513653355,-4.781705241425208,-10.124248734887802,-5.427355471456737,-6.021157227887973,-4.108424655882488
2000-01-13,-10.829782614676972,-5.866703680989437,-6.279982013701271,-7.614399374267721,-5.85843503019726,-4.16050834807613,-5.150265333980346,-7.335101006630878,-5.073500713023502,-6.010085936356156,-7.872920389295899,-4.839105317299412,-6.90765996893434,-3.913757361988195,-6.681618117963078,-5.63706996512119,-4.243231561225888,-5.084843987754016,-5.597533937550171,-5.292151875032659,-7.799688466953538,-7.278415919803222,-5.46097618758202,-5.3552807947705166,-5.873024834007303,-4.783653990300967,-10.131832329357632,-5.430397067163834,-6.023432693364829,-4.110116840160416
2000-01-14,-10.83456143649574,-5.870052895815214,-6.280829730033667,-7.621330320240448,-5.857256473298826,-4.16227476308331,-5.1532679320402695,-7.338986891916541,-5.07660957939604,-6.0120004638229965,-7.875061569225989,-4.838987180584885,-6.910684118422073,-3.9152688361780945,-6.684477243458572,-5.639590468649316,-4.244149998357529,-5.086474515915,-5.60032618983568,-5.293350006215711,-7.33316426821997,-7.28585867637283,-5.463830696812705,-5.358981285934809,-5.863287769728238,-4.785609494744465,-10.139432250386085,-5.433446945748665,-6.025714186013583,-4.111818979769987
2000-01-18,-10.865178376062698,-5.873408487156159,-6.283269759997638,-7.628285820126249,-5.856079265786311,-4.164045182782023,-5.155962176697837,-7.342879394277321,-5.079035513018463,-6.016191613207744,-7.877209134304861,-4.83887311726717,-6.91139227379893,-3.9167886937879763,-6.690880889884576,-5.64211703888397,-4.245068951604078,-5.088101561619119,-5.602891061785153,-5.294558334253225,-7.344341594302538,-7.290158164737906,-5.4673852116395905,-5.362692057998046,-5.496161233245301,-4.787564719357905,-10.147054904033451,-5.436505946974022,-6.028000417291995,-4.113524637078578
