Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-7.508422967743726,-3.2749891731571203,-4.204129220820833,-6.43519069867076,-4.645962532243804,-3.463304668108405,-5.005264668562493,-4.071601185435744,-4.352466330803388,-4.393239776656426,-8.203237795333767,-5.106115884080628,-5.8519579662292625,-3.7297039525050444,-5.014460772792948,-3.8600193342898157,-3.4624045038360394,-3.81879798240257,-5.406030887259055,-4.805828207237637,-5.9951655417116365,-5.28737774839063,-3.0335255319778534,-3.5703644996988317,-4.802621572091124,-3.2681505179576855,-4.708606103158031,-3.7527792527097397,-4.066160481616586,-3.278698262455689
2000-01-04,-7.490402105625724,-9.132323203756808,-7.282835728427619,-7.078864195375165,-4.393139418552334,-3.815809906314594,-4.304572098543856,-5.130413106692345,-5.798065038560979,-9.976136678720586,-10.301828435165598,-4.346513309735995,-4.954210264831393,-3.903126774552724,-7.783673021130612,-7.288006644979834,-3.70460003835396,-5.397285234268796,-4.864443467506389,-3.6214572771697964,-6.272656002330367,-4.446529250774876,-3.9825653963646146,-6.007388864919255,-4.172258282537163,-3.777038901920323,-6.556925162806174,-4.369678917308588,-6.733049174604226,-3.3884252266094133
2000-01-05,-10.120836366740262,-6.0413226262237085,-6.322111800059914,-5.149556490657216,-11.545482958503868,-3.780643798138254,-5.279367329980532,-7.177690695512531,-5.7079627398047315,-9.710592991886983,-4.783216472867398,-5.990886082445125,-6.677343419861079,-3.686856285846182,-7.0317229482094765,-4.618537843038752,-3.8619165517728575,-5.667020445679562,-6.346792877018711,-4.683377418290101,-6.540182224755095,-8.9541081396627,-3.8817721727693337,-7.887480463437321,-7.7055560433924075,-4.55145044346108,-5.501529701435357,-3.8838355904601034,-8.221394566002022,-3.839299451396315
2000-01-06,-9.025183320899917,-9.272424880529673,-4.6400046227380045,-5.482967100183594,-8.698800255962235,-3.765336202018434,-6.159309905565883,-7.750259249218045,-5.911695699206269,-8.29365785470193,-7.344320999505285,-4.208232224159771,-6.013666262246076,-4.0616186179792155,-7.768765684047261,-3.521505069372483,-3.9199459127453125,-5.088857922687601,-4.625861861971732,-4.7529475473601295,-6.151539758701118,-5.012274800955069,-4.206450510537366,-8.795017153402,-6.135496345146061,-3.887745110374171,-6.724763383286733,-5.0075380547526045,-6.401038019814909,-4.293739393400954
2000-01-07,-11.354883201360195,-6.6048014034915505,-5.129962888647912,-6.508355561837144,-8.87716585488798,-4.156321233502576,-5.545378237311134,-10.175909717999097,-4.933376406858182,-8.049169510943663,-6.250819096050372,-5.400260847082064,-6.905343587952653,-4.3393159328631725,-5.673858228809271,-3.6898237697910177,-3.7530564749509074,-5.028835867697974,-4.176652099385789,-5.745738533786627,-7.184371967069642,-4.689726985629267,-9.264680684179703,-6.8191155445263,-5.344057848470526,-4.450714096439557,-7.148597694980389,-4.136151115637989,-4.930381211107293,-4.708779637757543
2000-01-10,-9.376957488826497,-5.19836981728662,-5.091393395810761,-8.63844566514268,-5.82975894687833,-4.258333809009136,-5.084795346144187,-8.047936319835262,-3.5020381905829137,-6.85189254734749,-5.82930417593982,-5.420978007480512,-6.361653588774443,-3.100388133690698,-6.207003481133569,-2.678816592695575,-4.428295937129356,-5.555561176672765,-1.6647792633825844,-5.328158990318616,-6.807691200589414,-5.271506542347824,-13.937034150746587,-6.884517679590324,-5.554833286534835,-4.0108618645606695,-5.3640202782704325,-3.5944863245283876,-6.113517148999458,-4.583463662377234
2000-01-11,-9.26819981730722,-4.489166492625344,-5.892571650806892,-9.689795105966914,-4.286916765850537,-4.187688175675925,-6.2065158350703875,-17.76074688445385,-3.803064821870054,-7.087722019595055,-7.745205966859159,-4.16787245111685,-6.532954266987005,-3.515818636819717,-6.684399580951657,-7.7177281711210615,-3.7614438804613513,-5.303001960741459,-5.5014589839719426,-4.644198397234069,-6.723855412118178,-4.076565000364259,-3.6357393593332827,-5.874197894978562,-5.797800376591757,-4.23816491627895,-7.941671891238919,-3.5155422872738984,-4.782791675904887,-4.19445290966479
2000-01-12,-9.247085198307023,-4.022437706327697,-7.187985069218905,-5.83967054507815,-8.944792794704785,-3.6181891179297634,-5.226737210735181,-7.483445313599668,-3.7013035323262384,-6.992221480757248,-8.994872970752043,-4.967484865597093,-4.967133598324053,-3.4362998596964207,-5.5539160236087115,-4.647111046270157,-3.8338518975207925,-4.761926005439431,-4.702262642489647,-5.446381175936829,-8.815168215703972,-5.207628181064106,-4.8680276763292945,-5.429593336577295,-5.813524719736809,-4.718397016017123,-6.160977735720031,-4.06424824507905,-5.578371761600367,-4.6409307912759274
2000-01-13,-9.708319953295323,-4.840819154449417,-5.57175905076981,-5.15318457037556,-10.437152701942052,-4.003662618857165,-4.7358289564243,-13.314150234349954,-3.462168722769308,-5.134891486693657,-8.734784474745648,-5.25955036367372,-6.138452357006242,-3.230972434496826,-6.443916951138273,-3.3218413331583605,-4.133005790739472,-5.226518326204742,-4.788794226753666,-5.353877420908924,-7.651644663437973,-4.26494966943624,-4.350875722937214,-6.131697363555849,-6.218581022046209,-3.9529818104433985,-7.007499654626392,-5.224172760380393,-6.022382081806175,-3.8949013231320553
2000-01-14,-10.427495447850518,-3.7341635468232193,-6.360715184657542,-6.186153047465302,-6.904633144577026,-3.7700327558704583,-3.6258500009548094,-13.20520592104073,-3.3030486311366705,-4.348566729826933,-8.280644304652366,-4.9291393146026055,-4.918697080146831,-3.7044192740068733,-4.981432768263329,-4.893693874751244,-4.096794822272634,-4.279962409650469,-3.7142228788713942,-5.6979386701223085,-7.032468014540918,-6.193984873591489,-4.633624441779928,-4.021552663472078,-6.65142612954341,-3.870018950991317,-6.148084125495241,-3.472532019328723,-4.377109735100609,-3.8093743780883615
2000-01-18,-13.095371831206759,-4.808579329524488,-6.124382773167772,-4.012922236741832,-5.460039895788121,-3.87880724938363,-3.237153870998945,-8.545707991691573,-4.486950022137785,-4.389541157194163,-8.056272976821719,-4.742762801733137,-5.291008710914987,-3.733822726520073,-5.816508508212447,-3.5931446959840816,-3.7198135583522345,-4.278516515162027,-4.816241548125442,-5.7918668040951395,-6.6670100882440515,-3.9868558346332215,-5.4114838964512675,-5.397478173516823,-6.019005837533679,-4.034400066029553,-5.586462210250719,-3.8991691249019977,-4.57544965829691,-4.323953277770013
2000-01-19,-8.862544036999205,-7.504940660648209,-5.610729045345691,-6.638989730320947,-4.945174180054278,-3.8479636549216494,-8.464897492242379,-8.513616539478274,-4.448579639110921,-6.295359504213795,-7.90180279186666,-5.963817296073304,-4.05725134536151,-3.714708986900228,-7.057774882425028,-3.5016445855352676,-4.373801958893556,-4.728538952165592,-7.786138506015625,-6.117965127625998,-6.663826786686778,-5.133810854290714,-3.5693648380764778,-6.197853502435816,-7.0442790937757245,-4.497011089818009,-7.5340045980214345,-5.552020643704841,-4.2284403678783695,-3.826970393741375
2000-01-20,-8.753550397529606,-7.774691265798294,-5.092079473088477,-5.7568839023873695,-4.286990718461782,-3.8840218246650817,-6.052542355793522,-5.336923772967121,-4.594477284228545,-5.781505924071714,-7.82404329465231,-6.744518729604543,-5.7100122713072246,-3.8397856363649416,-6.14158056460208,-2.963511089169698,-4.297348219209338,-3.7827020142595122,-5.962987335758609,-6.167575466691044,-8.52598678236502,-4.33348610015664,-4.06659493863543,-7.727283968098854,-6.536286026338665,-4.4036019421573505,-8.713693439479158,-4.591917144259986,-5.348029574551546,-3.7883776518694257
2000-01-21,-8.674152851333613,-5.923386023534527,-7.845934662328283,-8.008654595580143,-5.004369662288938,-3.572734820923292,-6.629343789261237,-8.309456432762994,-5.283439736901543,-5.996280982718442,-7.708282451775049,-4.8825490071498985,-6.319482025625842,-3.8184752157774713,-6.804511199588805,-2.852394943305819,-3.6581913264456225,-6.3371264877313696,-4.090677492557365,-7.196056682405823,-7.274277407299813,-5.597842091727128,-4.593541965166007,-7.504736722555218,-5.080798262282334,-4.099180620437926,-6.700068398861745,-4.117337031742379,-5.151978414726011,-3.793330016067425
2000-01-24,-9.843223759941301,-4.953582933935921,-8.019693019441782,-5.447137469137705,-4.6719515210174265,-3.6037429027697425,-5.842751861408632,-11.789446330270705,-5.015719969230987,-5.514562580958227,-6.479654517714217,-4.618590400795666,-5.7997012757725255,-3.9967956145977728,-6.0605032951350095,-3.0009589593490382,-4.68209494663388,-5.669702905267937,-5.276488740214706,-6.872778738092844,-5.4119977340008205,-5.833405871041256,-6.886973352843043,-6.953720831618787,-5.945368561796523,-4.922487229605352,-11.9475116245358,-5.328256896759617,-5.511392393279012,-3.8546287035459774
2000-01-25,-8.980134695430277,-3.848231948223473,-9.986437029277074,-7.654008217332118,-14.399838612928512,-3.618184539906317,-5.774868691193462,-9.856173185794972,-7.034618645190342,-6.652869781571455,-6.273305738965391,-4.705258564451612,-5.322580138109257,-4.135961919179776,-5.99627196603921,-6.698089802419563,-4.832794484639017,-6.203083551835908,-5.683863148012558,-6.241126676735183,-8.584502701514806,-6.964331491447225,-5.578643659289922,-4.718975164682948,-6.674508589166105,-4.967833631338064,-16.958003106691113,-4.8358297044060325,-6.674883934364823,-3.437227137577854
2000-01-26,-9.062821477667878,-4.964338075993062,-8.284877410433019,-7.319141215810632,-7.69520335265495,-3.2228237889909606,-6.835877653971646,-9.869982071742848,-5.883051223617079,-5.802565543824325,-7.150849970695457,-5.396355489873339,-5.09697347917002,-3.986511488190489,-5.683430448875655,-4.317409096080714,-3.93787943778928,-5.554811382533504,-4.511076115396799,-6.312358670742353,-6.177127205523226,-6.057909786481906,-7.689686486468295,-8.859387189420596,-7.230943845200615,-5.130857548524135,-10.646574236150622,-4.372134388529146,-6.036038165858542,-3.5385835251028586
2000-01-27,-9.333943598806847,-4.104629684211142,-6.869319900276011,-10.632985160102772,-12.36779760463865,-3.4429827370263606,-5.484889329899727,-8.63265921277208,-4.662804857127204,-4.668150989934537,-5.777570897877581,-5.633792232803263,-6.184985582663129,-6.349975852030027,-5.441013781615523,-8.946696530345292,-8.269089303234926,-4.186617744039066,-3.9448742057202106,-6.4026552421700424,-8.583763931251745,-5.0666949590838275,-8.778332255364205,-4.213307129637513,-7.854819625928799,-5.295255151170784,-10.487569508129313,-3.8332238109419143,-5.384487103998627,-3.4736452893649905
2000-01-28,-7.997232958505264,-4.090815869489274,-8.364899229928774,-7.1838841488421625,-9.21279956355104,-3.532677748325015,-5.335094834989151,-7.06394200081899,-4.993401062605908,-4.85739064442885,-6.114405117485539,-5.316741036131207,-6.0327757266199535,-4.271326417587342,-4.930142016532083,-10.99238485877838,-7.7134287900093526,-4.869667456239925,-4.075054389619964,-5.3980880125420185,-6.608934778233586,-5.234979689986543,-7.83588522402918,-7.9521449998551,-5.508854328791855,-7.670385583905095,-10.029893920029107,-4.081862500641515,-6.644442163785845,-3.1546435769441348
2000-01-31,-10.496280601469653,-6.439035109597675,-8.235205612061074,-6.531969279297838,-9.700334262243866,-3.840912421963403,-8.547601380285203,-7.414232500999848,-7.268478558088839,-8.84616341567946,-5.995844002604822,-6.64093511683898,-7.094768457724043,-4.8153302778648985,-6.2741368702032805,-11.751130450164617,-7.459444317905466,-4.5931757250522365,-3.52089358324262,-5.4208921639537655,-6.957395305903725,-4.189123387640204,-7.593315868673668,-10.304662698565277,-6.40471975585041,-7.439436028724661,-11.859678207835012,-3.584300231020646,-11.743610719121722,-3.5488736471359843
2000-02-01,-9.459168675412478,-5.844902511962742,-6.9438855370918215,-5.962104914242106,-6.56035061451566,-3.8759582511647412,-5.509119639743359,-9.379828015001285,-6.951498820327398,-4.783184972703406,-7.200612360374407,-6.00631913392988,-5.991778791882095,-3.241890069970855,-5.433528225096551,-6.269701224727871,-6.632018594339267,-3.59444318989847,-3.359006434868343,-4.285727909117659,-6.18526130723019,-4.976625222582289,-8.075834255220219,-8.941850517920082,-5.9019945128469065,-6.544422119107371,-9.691436878504748,-6.241721369794093,-6.817082064447937,-4.453707811459468
2000-02-02,-12.542691078106962,-5.479950457471232,-7.688782027545901,-6.153705962089705,-5.954297756441136,-3.5055666365394176,-5.405461312121429,-8.382689426803394,-5.787141114884465,-5.217173647799506,-6.225244094816426,-5.708591596167173,-5.404365066643971,-4.173367277344424,-5.2387055730546965,-4.222203269700562,-3.730546208480403,-4.100045137631176,-4.546570567291364,-6.377981240875224,-7.0134511648152795,-4.89008980365469,-7.954890755447674,-8.350422724781879,-5.656457951504752,-7.025630455695106,-8.126310761023845,-5.3343114261516735,-6.437267470010685,-3.8392070340548217
2000-02-03,-8.578217981937149,-7.080715504851181,-6.792939368560211,-4.387368950358148,-8.831079014780617,-3.621385781186314,-7.353748406929316,-8.730840152490842,-4.903538448292926,-7.445668071946771,-7.63499763181449,-5.569024662591831,-6.047586955651341,-3.6519730174963634,-5.218336680748766,-7.30370978710231,-4.100808006810448,-6.80436752602379,-4.6590709149957545,-5.824184822784193,-7.4919463654917395,-6.630636115592021,-5.919358662571659,-5.5478297619246995,-5.972126647009354,-7.301750449750099,-6.888242155747601,-5.0198088518941635,-5.059136729555592,-3.7578719418861635
2000-02-04,-10.062257943962413,-5.9227046701690265,-8.6349007785266,-6.103260203478602,-6.495930090835808,-3.542771114199649,-5.043358427048343,-8.817538085043603,-4.949115973913449,-4.820659323320173,-7.564474154569459,-5.426905063750091,-5.184428866192896,-3.961831283041523,-5.470633120463953,-6.943984038872308,-7.624881400988832,-6.165128347495564,-4.778734656521669,-6.04420530725566,-6.433505859398277,-5.935760412555,-3.968942578485511,-7.3722436481572196,-6.389151401156211,-9.541130649812587,-7.231426459315147,-4.240498758052851,-5.562359892980125,-3.80756579555838
