Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-9.42982384048226,-4.11053853162525,-5.077880556931055,-6.219127342044262,-3.566523167978733,-3.420499920917842,-5.035532267303016,-5.542152217207959,-3.9467086193501455,-5.163456311400477,-4.711608176477885,-5.032036853836245,-5.953982293876367,-3.512589940466074,-4.890997408417402,-2.998173082623369,-3.2859654337185087,-4.045915730897303,-5.5545038641893365,-3.9404958634590392,-9.643222887892962,-3.942979969205497,-3.5131367812384804,-5.718496043243186,-4.59466983972188,-3.8214817803270127,-6.677186850896772,-4.675598412291007,-5.408363183859192,-4.1113769339904
2000-01-04,-11.055754488711807,-5.502436629766115,-6.115567508626626,-6.679746224753566,-3.4923142070584063,-4.079313032749671,-4.474071656391051,-9.142111213457216,-4.094941668514863,-8.806336422275683,-6.583041601928428,-4.55108416043296,-6.198148184723155,-4.072497806808195,-5.924786675863395,-5.5519631973243895,-3.6296531785120982,-3.5842008278992847,-4.5824266517645365,-3.696109247602367,-7.8373812836746835,-3.923093744915701,-3.755940993666843,-6.861276108788845,-4.91031788017677,-3.626957372047312,-8.753099262700404,-4.798733003012052,-5.500818167198956,-3.737745778940561
2000-01-05,-9.471397910567967,-5.772524962404471,-4.860373298413121,-6.161546653491288,-7.321690704337178,-3.812604265688366,-6.1515626206298455,-6.118436157407274,-4.429746623957162,-10.583978916498657,-7.977709471605152,-4.558903230415707,-6.359229980965233,-3.449964051628239,-5.854445883595568,-4.834567239241492,-3.6271970771062554,-5.140419425149262,-4.362485434918316,-4.691622018440599,-5.542024186282444,-4.652989752164355,-3.812631998724864,-7.737867139009353,-6.380357083088363,-3.916481092528154,-6.650047749518836,-5.599445498392235,-5.721348285401336,-4.135289962516539
2000-01-06,-10.367322513597106,-5.96533359255832,-5.131861778457974,-6.387735596616339,-6.559726319600896,-3.72213471335696,-5.282948429906169,-7.026362860491242,-4.377230979273362,-8.150231121136942,-7.933488673985117,-4.123288709802543,-6.335615211375495,-3.614484921372148,-5.688119283111215,-4.443420367126618,-3.6363698391334807,-5.219263247989239,-4.16691823726207,-4.374153575294955,-11.52192295068626,-4.540725711819965,-3.9062263379602937,-7.200657782465085,-6.163510067765609,-4.878408179044994,-8.635260084985331,-5.638456983755521,-5.608541939447095,-4.895207673926198
2000-01-07,-9.71713795478309,-5.466026199312354,-5.123211629312485,-7.747488420878769,-5.956835331676225,-4.192798215231012,-5.419198569387334,-7.131998430973586,-4.431494636521236,-10.262261059440728,-7.973909958244434,-4.462822056839786,-6.736117685900457,-3.4383026780266617,-5.576806498031669,-3.962128804628155,-3.6026855606748582,-5.578151079098832,-4.415505382725661,-5.074973141210904,-5.483053881238449,-5.027704648675833,-5.034101638565294,-8.236491778995576,-5.709909989745824,-3.647860894976606,-7.178387299236403,-5.085053977907221,-5.509241456399697,-4.943312324834886
2000-01-10,-9.836135372620626,-5.19275283614691,-7.603217895133762,-7.914371833436136,-8.621223598744926,-4.251766168408727,-5.4357428497019935,-6.221535079555762,-4.86403207689012,-11.661273089062211,-7.962000885387121,-4.332893942768682,-6.439367658908327,-3.29717670545253,-6.130865935731122,-9.698810005795233,-3.691227181373708,-6.653506332196888,-3.4012540805919573,-4.91768868080453,-8.691563892991878,-6.826004756087152,-7.476301650332938,-8.955865165092755,-5.840092368422533,-4.840748093032072,-7.006170690475438,-4.646585539611471,-6.695079213348641,-5.11464930011038
2000-01-11,-9.84260319226318,-5.210199813738528,-4.397160024535784e+25,-8.039907793273253,-9.569796523169352,-4.396177179206954,-5.196182895735041,-8.091523996834363,-4.75680710257953,-9.70113785042117,-8.054587788525284,-4.243345136620815,-6.403461252575808,-3.2547168393997423,-5.776245507254627,-9.389414134077176,-3.671690156072288,-6.176197701542329,-3.820818893680707,-4.432294568581383,-9.226288840303884,-6.4437958284167625,-6.630643008832696,-3.808062531281264,-5.666565719370227,-4.4608318952155255,-7.086758641599681,-4.648142862615106,-6.466665681965828,-5.067677197067447
2000-01-12,-9.574353131822097,-4.699146433901912,-5.11688730169792,-7.399947458939148,-6.914541094091763,-4.189131624506845,-5.310806482770618,-9.19815048950715,-4.322713036969249,-8.762575594406654,-7.946015166012703,-5.62686030871667,-6.510627882048531,-3.342278305506392,-5.45093263516003,-9.242577471373115,-3.918502438053632,-5.863393742268789,-3.4363128411867576,-4.740601569610909,-9.60302826312514,-6.162937967806341,-7.495724954570311,-6.985562995145771,-5.505996278573457,-4.2606719602958405,-7.81302164006103,-4.022237006343981,-6.141597536842827,-4.984683908853787
2000-01-13,-9.11754511467507,-4.458443471070483,-4.228076213966172,-6.424138724547333,-7.313443094722027,-3.908374226680009,-5.990605748038639,-8.844566577300927,-4.258318694864832,-8.135277725353518,-7.982114062093821,-3.537452058816441e+27,-6.44101277860149,-3.3641521675726387,-5.492496838993279,-5.730169480743073,-3.801578812639168,-5.46516319304204,-3.425247268289226,-5.268532698101682,-10.120184243152725,-6.309394992204693,-5.431648054754518,-6.633290726769703,-6.396887987506166,-4.032841592148654,-7.061043143604706,-4.843394742947729,-6.038198170746016,-6.033550841238525
2000-01-14,-9.485388148753442,-5.246733745258201,-5.129939341909225,-6.4820645969778905,-7.444019658607939,-3.995930462416385,-4.130069224591234,-7.637895961425192,-4.176919651747308,-7.870619863057886,-8.083443722163938,-4.502173850082283,-6.404062663689143,-3.484654465864032,-6.2327413645519325,-7.129634559549629,-4.446420326927097,-4.868323989092515,-3.9666277749792096,-5.097980996596876,-8.41395142598025,-7.108454395534364,-5.735108002962976,-5.931660819635058,-6.580997454671479,-4.112972987313915,-9.931103341639815,-5.070059077715538,-5.771949196227468,-4.7324714433239246
2000-01-18,-9.229881777892407,-4.811022095290014,-7.618823986646421e+28,-6.2381095897663545,-6.367284141753048,-3.9127979199021055,-6.325733533968891,-7.790579409209882,-4.1643176588886845,-5.582097214573898,-7.53318272993263,-4.128863337271134,-6.365919572943876,-3.502283274817434,-5.459714601991744,-6.209469840114606,-4.116375263817407,-4.948239280552229,-3.5204094230275103,-5.951883516719561,-8.456365321053884,-6.710116885000974,-4.684672229807691,-6.171194075602417,-6.3410414372125645,-3.7979406033383554,-6.870722198733217,-4.262021729844708,-5.554735653311652,-4.480280145146205
2000-01-19,-10.6062396833691,-7.545950111137368,-5.140351836281405,-6.487243080489409,-7.479352157193194,-3.82122572754874,-6.380004254102344,-10.171974379444324,-4.193895743720166,-6.127818054335728,-8.887923608045792,-5.353362082474574,-6.588022220590054,-3.5083637876966205,-5.71198950302723,-7.217531938136238,-4.304914536812812,-4.869520069205522,-4.5726008225592265,-6.001699776627485,-5.429959103191989,-6.413635124046135,-5.529257860131955,-5.503011046246969,-6.223088180761225,-4.631062285371265,-8.538205904356801e+57,-5.443769817554335,-5.484377921941903,-4.8667968174788205
