Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,T,TRV,UNH,VZ,WMT,XOM
2000-01-03,-7.835613430591263,-4.114633597095199,-4.964133920806356,-5.827630938458611,-4.385043477717959,-3.8808225990895098,-5.171767357191734,-4.901130223571537,-3.8912406993340434,-5.450397243157753,-6.9496902205193605,-5.152603609375801,-6.407421933599448,-3.9698953931780965,-4.641316131869052,-3.0872767409127304,-3.4604882773413532,-4.577515904077547,-4.496181112723211,-3.67381337133305,-6.266387770682986,-4.2704449755142875,-3.0804439543876745,-5.738065904937307,-4.47987545048623,-3.8917481871110033,-7.559691817865046,-3.1310419786379358,-5.441537353985681,-3.895617750575746
2000-01-04,-9.514109698663347,-5.419287875152954,-4.869928107653674,-7.212068127334312,-4.733711223649755,-4.040168877669118,-4.487551493198631,-5.206372056416329,-4.170739221956792,-6.177533374170345,-6.917202286972433,-5.495964972547575,-5.648925810254293,-3.4421128608711413,-5.849690899456486,-6.506921492746704,-3.6524380278551933,-4.237758458438969,-4.41974776634346,-3.364937830161493,-6.796063506823464,-5.376678454709071,-4.024089928814532,-5.2955738397580685,-4.948093431195117,-4.042547104461673,-5.529813330176117,-4.57691585031502,-5.49521987556078,-3.920411970904731
2000-01-05,-9.18123848614059,-5.688161859570554,-4.555456630608026,-6.339002344405217,-8.704005683503421,-3.8557144020798138,-5.071486566034376,-6.831447958056085,-4.512354188248867,-8.789561742629433,-5.513352856312411,-5.915147257901355,-5.78594674616644,-3.4689426987879304,-5.884800435016037,-3.1315827144368944,-3.897723726616998,-5.104401395564313,-4.669565262460557,-4.676114556808571,-5.47385585933981,-4.95580347957785,-3.940430779002789,-7.309410876384613,-5.915722175003315,-4.04408885494802,-5.5700196932249915,-5.1528252723527,-6.204110433634347,-3.953174017706933
2000-01-06,-9.429077474637875,-5.9182733959255795,-5.776487119436232,-5.875354237053694,-5.798112679987909,-3.9465075820486595,-5.354876483677961,-6.286835042661734,-4.527435584661382,-6.369192393425281,-8.940424682195177,-4.470847206096273,-6.564257946475053,-3.572215160848033,-5.765137696894132,-3.8674944430292726,-3.9110958683433252,-5.215073582164799,-4.847437453717351,-4.476951964757241,-8.272421597556695,-4.916174726141488,-4.00848807783798,-6.765837478579918,-5.770749706049738,-3.9891063679879615,-5.362532932193813,-5.25742629022108,-5.67061712949067,-4.274244145437798
2000-01-07,-10.333759207985418,-5.8144021318683805,-5.380283874021669,-8.674809004541991,-6.228579248041438,-4.231572769359428,-5.88469108962571,-10.38286917206137,-4.2745323445404,-7.743567379203368,-8.032966021856609,-5.484449879910887,-6.301383915546799,-3.2415316558488647,-5.640560309338786,-3.031300133838865,-3.851816463704775,-6.267176394132127,-4.708088648028753,-5.368015027311939,-7.17545312279121,-5.444835022598347,-5.28384808279156,-7.7908829254617675,-5.73552827077541,-4.072360491048116,-6.140201011863582,-3.6511878268701015,-5.67431744450644,-4.751771062052256
2000-01-10,-9.391893932223796,-5.583054563634453,-5.1401436452596485,-8.94786090674543,-9.274256614539706,-4.232114342761759,-5.715658685908145,-8.05019193686532,-4.593392446369029,-8.708035346028234,-8.180759753888003,-5.454579365364873,-6.68111262413856,-3.5440692159360334,-5.648092452885324,-9.920087772843608,-4.220296874456347,-5.953415953352058,-5.428023733095109,-5.059047107709858,-6.526128299518952,-6.804447398564676,-6.660129990770573,-7.182452113885029,-5.50117130783322,-4.7548414831186365,-7.606350101318173,-4.618805873267724,-6.894597805338137,-4.309126931787685
2000-01-11,-9.294182826726132,-5.378063822674167,-4.899115056633062,-8.967089112045937,-9.147407648709345,-4.370781517770487,-5.5735903479624245,-12.770206491515827,-4.094869679543177,-8.392074398873014,-8.865838610937734,-5.5043471061445475,-6.514603485998003,-3.3167756666647454,-5.642504719187942,-6.700636407623353,-3.819310687036305,-5.469646417715441,-5.344892336931226,-4.613017245608437,-6.533707010605014,-6.202568549155568,-5.506230832334942,-6.384256979256976,-5.3060607967293585,-4.865279042301774,-7.807933333517287,-3.4029239630402515,-6.511400600714,-3.668009875443624
2000-01-12,-9.183289963697568,-5.128540081222969,-5.692121055444796,-8.227359541915122,-8.637811381168909,-4.268331090211985,-5.007532273136331,-11.936852721567337,-4.153605160264895,-6.290625837776456,-8.780783877034565,-5.270148707728207,-6.873412165264598,-3.711162907982652,-5.729538712463639,-6.696947790521925,-4.089184648080755,-5.311614469733776,-4.741559109705626,-5.096694486978753,-7.395243471368818,-5.959069263132694,-5.290932520709861,-5.985655712553994,-5.358037045575312,-4.517792705286693,-7.1441126575467315,-3.6165852575790516,-6.2114805311334536,-4.234428697361446
2000-01-13,-10.786312196017148,-4.754815794406276,-5.078129870259758,-5.42470809244029,-8.009047132327707,-3.8946160447446023,-4.984886806210903,-13.553175148928464,-3.9986565234998914,-7.499282290563265,-6.273968344405287,-4.920727852277009,-6.480143175336343,-3.299002450027422,-5.558336488478264,-4.243268267198795,-4.855198823117377,-4.91836630862229,-4.95302916904963,-5.760104225360355,-6.788044429041133,-8.31679679645319,-4.555893209627078,-6.373093675415626,-6.116673143391734,-4.152725583726334,-6.792434207231499,-5.087221045437063,-5.794801868712769,-4.576570567444895
2000-01-14,-9.772277112592908,-4.477687405479876,-4.9592642129591935,-6.578123964966673,-7.486447589789124,-4.07275066205695,-5.262905247356524,-14.154735645554547,-3.9767805632935693,-5.074964803340711,-8.480302243843152,-5.200204092963158,-5.855008883832882,-3.450167426636436,-5.535938272465298,-5.3374753411447315,-4.400581669154486,-4.750963831653579,-4.663786610004019,-5.583074672355692,-7.008925433664478,-7.1772002558432675,-4.481333402183676,-5.641120036025087,-6.145298284778727,-4.316371204685197,-6.99361904430235,-3.933330820128323,-4.292703032538376,-4.26857953122655
